# nprocs, nthreads, total, comm, grid, idle, write
1,16,67.003988,0.005010,4.262294,62.766013,0.061080
1,16,66.962372,0.004897,4.240543,62.728450,0.058877
1,16,66.995526,0.005014,4.242411,62.755582,0.065929
1,16,66.969842,0.005282,4.246677,62.733374,0.063428
1,16,66.983510,0.004883,4.232489,62.740576,0.065028
2,16,123.012551,61.729745,4.107420,119.489962,1.293316
2,16,122.911333,61.661735,4.100034,119.392259,1.288183
2,16,122.933201,61.667723,4.112138,119.411549,1.291059
2,16,122.978763,61.710360,4.116874,119.468701,1.284718
2,16,122.929063,61.678623,4.102256,119.414058,1.285332
3,16,142.793186,95.158211,3.257835,140.351466,2.051303
3,16,142.904036,95.189997,3.261301,140.455532,2.057433
3,16,142.908012,95.230207,3.259354,140.460718,2.054077
3,16,142.895340,95.203808,3.262054,140.442762,2.061166
3,16,142.843572,95.178124,3.258403,140.387895,2.063955
4,16,151.925418,113.837835,2.546783,149.237674,2.434615
4,16,151.981153,113.890766,2.552365,149.277760,2.434526
4,16,151.891331,113.804475,2.551742,149.194285,2.421980
4,16,151.832867,113.771186,2.555187,149.161104,2.423405
4,16,151.890954,113.824824,2.553901,149.199321,2.424651
5,16,142.930233,114.324477,2.032838,140.967597,2.432154
