# nprocs, nthreads, total, comm, grid, idle, write
# nprocs, nthreads, total, comm, grid, idle, write
1,64,3.801478,0.001213,3.726019,0.015897,0.054261
1,64,2.287975,0.000771,2.205440,0.002458,0.080076
1,64,2.326664,0.000764,2.239005,0.024628,0.072928
1,64,2.235013,0.000884,2.165658,0.002438,0.066809
1,64,2.333116,0.000850,2.242259,0.002552,0.087323
2,64,3.484555,1.870611,3.019250,1.903333,0.101165
2,64,3.396772,1.837445,3.041689,1.916370,0.113858
2,64,3.599748,1.922945,3.108928,2.002244,0.066584
2,64,3.672805,2.167620,3.084288,2.218525,0.072981
2,64,3.604581,2.071578,3.189155,2.150532,0.077544
3,64,4.800179,1.996892,2.412048,2.009965,1.850997
3,64,4.797433,1.898874,2.324387,1.948735,1.917996
3,64,4.853295,1.838258,2.331674,1.899349,2.041688
3,64,4.633081,1.846926,2.344409,1.889575,1.782769
3,64,4.446579,1.824765,2.402329,1.834554,1.695788
4,64,4.046798,1.687964,1.926806,1.695101,1.622915
4,64,4.612144,1.773287,2.020233,1.799817,2.052630
4,64,4.530433,1.845111,2.008199,1.862018,1.889922
4,64,4.396680,1.895407,2.130418,1.902793,1.759120
4,64,4.420795,1.809908,2.094179,1.817174,1.867077
5,64,4.414259,1.625772,1.897849,1.779329,2.181495
5,64,4.448078,1.804218,1.983056,1.974198,2.017947
5,64,4.002959,1.598727,1.830868,1.747476,1.805535
5,64,4.030045,1.637590,1.918140,1.790540,1.778604
5,64,4.179350,1.797761,1.978675,1.890767,1.836690
6,64,3.610942,1.422296,1.228476,1.488759,1.748490
6,64,3.523147,1.322531,1.215500,1.373750,1.775436
6,64,3.546988,1.393569,1.205331,1.437299,1.741832
6,64,3.913428,1.346683,1.292464,1.400143,2.172302
6,64,3.910797,1.380216,1.203153,1.432920,2.106102
7,64,3.325264,1.200037,1.125415,1.213411,1.784180
7,64,3.288455,1.173148,1.166225,1.197285,1.773149
7,64,3.687640,1.286935,1.282705,1.328132,2.037885
7,64,3.445712,1.343847,1.213098,1.361469,1.761993
7,64,3.384000,1.231496,1.246682,1.252811,1.806184
8,64,3.327406,1.252464,1.057247,1.257686,1.792011
8,64,3.256442,1.138163,1.058989,1.143052,1.845951
8,64,3.322195,1.234559,1.099853,1.239730,1.809066
8,64,3.857647,1.737717,1.193237,1.743025,1.826494
8,64,3.479407,1.191432,1.069330,1.196327,2.007196
