# nprocs, nthreads, total, comm, grid, idle, write
1,1,65.918735,0.003243,65.900636,0.004700,0.007811
2,1,33.041315,0.029613,33.008294,0.004797,0.008562
3,1,22.085325,0.088321,22.052827,0.004768,0.011081
4,1,16.563768,0.035467,16.518877,0.005094,0.018008
5,1,13.252893,0.037018,13.205072,0.004828,0.013983
6,1,11.086983,0.115281,11.042372,0.004831,0.014564
7,1,9.497698,0.100333,9.455075,0.004865,0.014564
8,1,8.344673,0.053574,8.292877,0.004824,0.014558
9,1,7.457403,0.113460,7.395778,0.004822,0.016744
10,1,6.676632,0.058191,6.627232,0.004758,0.017339
11,1,6.087657,0.119490,6.025751,0.004722,0.025161
12,1,5.640224,0.142060,5.562872,0.004794,0.017826
13,1,5.146692,0.106593,5.094299,0.004830,0.018861
14,1,4.818155,0.111816,4.751454,0.004806,0.018778
15,1,4.480769,0.102043,4.423284,0.004756,0.018065
16,1,4.219042,0.104400,4.157567,0.004877,0.019275
17,1,3.965129,0.108351,3.897804,0.005056,0.021690
18,1,3.761066,0.106538,3.704781,0.004762,0.022326
19,1,3.575858,0.110992,3.511896,0.004816,0.024297
20,1,3.394101,0.063597,3.331007,0.004781,0.025348
21,1,3.257932,0.123523,3.185909,0.004822,0.028659
22,1,3.115214,0.112933,3.042791,0.004798,0.027184
23,1,3.000296,0.129492,2.929015,0.004799,0.028138
24,1,2.869224,0.130221,2.806849,0.004995,0.026726
25,1,2.731371,0.059347,2.660215,0.004861,0.026471
26,1,2.672638,0.126321,2.593973,0.004825,0.032631
27,1,2.603289,0.121610,2.521230,0.004807,0.034434
28,1,2.482536,0.139536,2.394334,0.004911,0.026058
29,1,2.409244,0.127252,2.318799,0.004768,0.031592
30,1,2.343274,0.128317,2.264397,0.004811,0.030857
31,1,2.258562,0.104455,2.187080,0.005288,0.034707
32,1,2.214693,0.117701,2.118876,0.004804,0.044181
33,1,2.148984,0.120383,2.070654,0.004932,0.041073
34,1,2.076322,0.118991,2.007592,0.005107,0.034608
35,1,2.013914,0.117909,1.942560,0.004978,0.040063
36,1,1.948793,0.122985,1.880901,0.005843,0.035974
37,1,1.950112,0.114435,1.852034,0.004990,0.046229
38,1,1.887480,0.122458,1.811326,0.004916,0.040868
39,1,1.811118,0.112718,1.740300,0.004837,0.040615
40,1,1.758739,0.062068,1.682349,0.004786,0.039268
41,1,1.761026,0.125034,1.689824,0.004860,0.043503
42,1,1.694224,0.121012,1.602823,0.004828,0.045676
43,1,1.678845,0.112126,1.599220,0.004836,0.040464
44,1,1.611722,0.106515,1.532796,0.004839,0.044318
45,1,1.631909,0.113831,1.536340,0.004968,0.056719
46,1,1.559575,0.119032,1.484115,0.004882,0.044718
47,1,1.571053,0.124222,1.478255,0.004824,0.051299
48,1,1.502848,0.121341,1.421267,0.005124,0.048664
49,1,1.496944,0.119841,1.414324,0.005050,0.047217
50,1,1.451521,0.063706,1.352246,0.004882,0.058131
51,1,1.442866,0.128669,1.351984,0.004956,0.049540
52,1,1.446254,0.122051,1.343163,0.004868,0.060601
53,1,1.360346,0.105509,1.287010,0.004865,0.049626
54,1,1.386470,0.122825,1.289493,0.004915,0.065091
55,1,1.360128,0.105732,1.284619,0.004918,0.055533
56,1,1.328506,0.125987,1.227005,0.004855,0.066021
57,1,1.333161,0.124343,1.219813,0.005452,0.076725
58,1,1.298146,0.112222,1.221974,0.005009,0.053758
59,1,1.246556,0.107524,1.158898,0.004867,0.061316
60,1,1.248226,0.121802,1.155646,0.004931,0.059572
61,1,1.248286,0.118949,1.157852,0.004978,0.061636
62,1,1.255099,0.121905,1.146810,0.004890,0.065157
63,1,1.212512,0.111020,1.093607,0.004932,0.086574
64,1,1.190644,0.126066,1.096052,0.004934,0.063038
65,1,1.184077,0.120992,1.093347,0.005003,0.061559
66,1,1.179266,0.121505,1.095262,0.005055,0.055865
67,1,1.138455,0.123121,1.031675,0.005885,0.069235
68,1,1.131326,0.121736,1.033479,0.005038,0.063403
69,1,1.145408,0.130554,1.033825,0.005058,0.078170
70,1,1.133071,0.124069,1.029357,0.005009,0.073933
71,1,1.129343,0.129529,1.029290,0.004977,0.062869
