# nprocs, nthreads, total, comm, grid, idle, write
1,16,8.489563,0.004161,8.462986,0.011741,0.014933
1,16,8.482499,0.004060,8.456447,0.011850,0.014289
1,16,8.460231,0.004105,8.433644,0.011740,0.014987
1,16,8.450751,0.004402,8.424319,0.012275,0.014343
1,16,8.448867,0.004198,8.422467,0.011754,0.014745
2,16,8.545566,0.090804,8.463720,0.097403,0.023439
2,16,8.525859,0.073886,8.450096,0.080416,0.022620
2,16,8.480720,0.028247,8.438143,0.035192,0.022494
2,16,8.473367,0.017119,8.427235,0.023776,0.022913
2,16,8.490434,0.038458,8.444588,0.045348,0.022941
3,16,8.501827,0.043229,8.435624,0.055782,0.040358
3,16,8.530951,0.066880,8.446662,0.079520,0.045239
3,16,8.482782,0.022828,8.415719,0.035829,0.041290
3,16,8.536126,0.080166,8.442498,0.089654,0.040266
3,16,8.484456,0.025055,8.415424,0.037243,0.041365
4,16,8.529348,0.063405,8.448923,0.073734,0.048804
4,16,8.488509,0.025342,8.420606,0.036917,0.044946
4,16,8.548676,0.086375,8.448264,0.096750,0.044586
4,16,8.495118,0.032725,8.426963,0.042355,0.045101
4,16,8.568081,0.104576,8.459460,0.114846,0.043500
5,16,8.586751,0.116755,8.471924,0.140980,0.050568
5,16,8.497776,0.032657,8.420028,0.054070,0.049419
5,16,8.502957,0.036720,8.423892,0.052076,0.052266
5,16,8.550189,0.082432,8.469167,0.102675,0.049687
5,16,8.498348,0.030002,8.418269,0.047054,0.051259
6,16,8.589013,0.121376,8.455271,0.136024,0.055904
6,16,8.619151,0.144293,8.449500,0.158987,0.060377
6,16,8.731662,0.252201,8.470339,0.270991,0.058896
6,16,8.533972,0.062911,8.426795,0.077443,0.059839
6,16,8.608849,0.132805,8.453549,0.152251,0.058709
7,16,8.565118,0.074814,8.446445,0.093065,0.068951
7,16,8.545053,0.053653,8.423898,0.079998,0.062971
7,16,8.699976,0.202397,8.473825,0.230644,0.067442
7,16,8.670654,0.177688,8.450304,0.198886,0.070000
7,16,8.551734,0.062169,8.424228,0.083398,0.071369
8,16,8.700228,0.196575,8.466865,0.218065,0.078463
8,16,8.648832,0.143115,8.443382,0.170472,0.077559
8,16,8.668952,0.158768,8.462445,0.186150,0.080880
8,16,8.666797,0.165637,8.454212,0.189669,0.073816
8,16,8.703738,0.207302,8.471611,0.224721,0.076454
9,16,10.478381,0.435037,8.490332,0.489848,1.579498
9,16,9.997220,0.108664,8.439768,0.150549,1.442707
9,16,10.586404,0.180608,8.467899,0.224251,1.956879
9,16,10.103244,0.235429,8.475969,0.275287,1.424275
9,16,11.140677,0.158289,8.455391,0.192542,2.544792
10,16,10.204513,0.126574,8.447818,0.172964,1.629501
10,16,10.369798,0.257373,8.473626,0.304586,1.659908
10,16,10.487099,0.104472,8.436050,0.151905,1.932444
10,16,10.415344,0.232606,8.462283,0.287453,1.724975
10,16,10.301168,0.119088,8.431204,0.165877,1.735801
11,16,10.935445,0.175797,8.457883,0.252638,2.281340
11,16,10.391032,0.172322,8.463904,0.220333,1.767295
11,16,10.398793,0.100374,8.441535,0.145950,1.851167
11,16,10.589775,0.304379,8.494254,0.409598,1.773017
11,16,10.403504,0.156457,8.458006,0.220574,1.781838
12,16,10.595616,0.190959,8.462908,0.252317,1.938084
