# nprocs, nthreads, total, comm, grid, idle, write
1,16,8.464783,0.004202,8.441617,0.012085,0.010997
1,16,16.744105,0.004500,16.715172,0.012458,0.016691
1,16,25.330471,0.006854,25.286852,0.017414,0.026345
1,16,35.103235,0.011291,35.019110,0.060560,0.029407
1,16,45.450871,0.011982,45.322904,0.107468,0.035416
1,16,55.118864,0.014908,55.046227,0.033746,0.038631
1,16,64.493445,0.014396,64.419530,0.031310,0.042758
1,16,73.706811,0.015173,73.623014,0.031642,0.051956
1,16,82.624808,0.016307,82.517841,0.053628,0.058983
1,16,91.634693,0.015247,91.510231,0.081066,0.057453
1,16,100.715253,0.014875,100.615996,0.032332,0.066601
1,16,110.653140,0.013391,110.559955,0.031334,0.065903
1,16,119.748699,0.014868,119.651179,0.028666,0.068881
1,16,128.956069,0.015009,128.820933,0.080516,0.073203
1,16,137.892559,0.014638,137.784916,0.029742,0.077926
1,16,146.804211,0.014047,146.693345,0.029358,0.081253
1,16,156.041898,0.014304,155.892547,0.069177,0.087338
1,16,165.020074,0.014434,164.826367,0.108835,0.092015
1,16,174.074745,0.014469,173.897020,0.093424,0.095846
1,16,183.191682,0.014924,183.010822,0.097885,0.100676
1,16,192.108473,0.015182,191.972487,0.029382,0.106310
1,16,201.199157,0.013328,201.044377,0.052329,0.108186
1,16,210.428719,0.014621,210.217852,0.106718,0.117612
1,16,219.459155,0.013776,219.309742,0.030344,0.119998
1,16,228.355848,0.015854,228.200723,0.030274,0.124520
1,16,237.418414,0.015091,237.256374,0.030546,0.131619
1,16,246.469800,0.015195,246.304674,0.037634,0.133033
1,16,255.505572,0.013819,255.339060,0.029029,0.137142
1,16,264.629174,0.014192,264.435718,0.054562,0.144319
1,16,273.729695,0.013922,273.484627,0.113593,0.149014
1,16,282.792362,0.015426,282.560272,0.080741,0.156200
1,16,291.963703,0.016321,291.710296,0.119908,0.158883
