# nprocs, nthreads, total, comm, grid, idle, write
1,1,66.107976,0.003812,66.078216,0.004821,0.018612
1,1,66.107625,0.003486,66.084242,0.004743,0.012801
1,1,66.114024,0.003566,66.094077,0.004710,0.009312
1,1,66.254359,0.003478,66.098033,0.004830,0.145654
1,1,66.136793,0.003590,66.108486,0.004788,0.017568
1,2,33.158404,0.007999,33.105782,0.019142,0.024959
1,2,33.176549,0.007888,33.104715,0.018816,0.044835
1,2,33.141402,0.008023,33.100795,0.019250,0.012998
1,2,33.140349,0.008190,33.101377,0.019210,0.011238
1,2,33.150151,0.008043,33.100711,0.019109,0.021801
1,3,22.169885,0.008015,22.125687,0.031186,0.012867
1,3,22.204820,0.008045,22.126784,0.030411,0.047481
1,3,22.175068,0.008290,22.125838,0.030770,0.018653
1,3,22.218470,0.008224,22.127731,0.028903,0.060780
1,3,22.180310,0.007696,22.129578,0.028868,0.021120
1,4,16.631703,0.008002,16.584002,0.032287,0.015897
1,4,16.643070,0.008097,16.585048,0.032345,0.026513
1,4,16.621712,0.008099,16.580696,0.031938,0.009567
1,4,16.682756,0.007969,16.584830,0.032244,0.066624
1,4,16.692268,0.008165,16.583445,0.033521,0.076535
1,5,13.338352,0.007941,13.275629,0.033499,0.030832
1,5,13.382224,0.007896,13.279120,0.035573,0.068374
1,5,13.348600,0.007909,13.275179,0.033899,0.040024
1,5,13.346115,0.007840,13.275939,0.032784,0.037316
1,5,13.336998,0.007986,13.278977,0.033747,0.026518
1,6,11.143205,0.007711,11.086601,0.038985,0.019748
1,6,11.152141,0.007731,11.089179,0.038462,0.024312
1,6,11.223873,0.007893,11.090769,0.039025,0.094522
1,6,11.150791,0.007813,11.090300,0.039138,0.023514
1,6,11.146813,0.008007,11.091698,0.037945,0.018928
1,7,9.568648,0.007970,9.508104,0.040629,0.022229
1,7,9.588724,0.007889,9.503785,0.041162,0.045187
1,7,9.584238,0.007906,9.505116,0.040463,0.040045
1,7,9.567660,0.008020,9.505471,0.042226,0.021564
1,7,9.622392,0.008228,9.504099,0.041313,0.077790
1,8,8.391681,0.008306,8.311897,0.042709,0.037520
1,8,8.372182,0.007926,8.313513,0.044751,0.016330
1,8,8.368846,0.007889,8.313850,0.044294,0.013072
1,8,8.506445,0.007837,8.321877,0.043763,0.143595
1,8,8.380348,0.007838,8.314654,0.045237,0.025045
1,9,7.494860,0.008008,7.429389,0.048154,0.021771
1,9,7.486219,0.007837,7.429980,0.046829,0.011224
1,9,7.482673,0.007853,7.429182,0.047885,0.010916
1,9,7.502545,0.008062,7.428661,0.047694,0.030500
1,9,7.488954,0.007879,7.428702,0.048499,0.017927
1,10,6.755019,0.007820,6.665346,0.050676,0.044428
1,10,6.930751,0.007797,6.665397,0.049974,0.219877
1,10,6.721559,0.008138,6.666165,0.050707,0.010989
1,10,6.747827,0.007851,6.664405,0.051222,0.037242
1,10,7.654498,0.007859,6.663965,0.050227,0.944626
1,11,6.131074,0.007755,6.070513,0.056960,0.009338
1,11,6.133523,0.007789,6.070974,0.055640,0.013570
1,11,6.142602,0.008057,6.072032,0.056504,0.020662
1,11,6.145258,0.007742,6.069476,0.056911,0.024027
1,11,6.141222,0.007924,6.072358,0.056085,0.020758
1,12,5.673399,0.008045,5.605202,0.060533,0.016080
1,12,5.710289,0.007983,5.602350,0.060334,0.055019
1,12,5.680270,0.007899,5.602597,0.057714,0.022789
1,12,5.690708,0.008057,5.600454,0.058807,0.034038
1,12,5.673243,0.007917,5.605600,0.060815,0.014695
1,13,5.250193,0.007980,5.145036,0.065272,0.046050
1,13,5.241715,0.007903,5.148050,0.065603,0.034477
1,13,5.225573,0.008220,5.146685,0.064839,0.019416
1,13,5.231659,0.007896,5.145673,0.064703,0.027440
1,13,5.232452,0.007733,5.152553,0.063132,0.025451
1,14,5.510971,0.007916,4.812652,0.067994,0.636566
1,14,4.889642,0.008541,4.814318,0.067911,0.012274
1,14,4.921322,0.008771,4.813896,0.070774,0.044286
1,14,4.888441,0.007847,4.812492,0.067888,0.013976
1,14,5.041676,0.008760,4.818377,0.069495,0.163714
1,15,4.563246,0.008508,4.485710,0.073322,0.011288
1,15,4.571409,0.007846,4.486049,0.071828,0.020427
1,15,4.566052,0.007831,4.485605,0.069735,0.015679
1,15,4.595776,0.008590,4.488248,0.073650,0.042471
1,15,4.679117,0.007819,4.488064,0.070971,0.129363
1,16,4.318021,0.008513,4.222628,0.076768,0.026063
1,16,4.310105,0.007918,4.220800,0.074317,0.021424
1,16,4.320345,0.007761,4.227465,0.075595,0.027885
