# ordered evolution: size = 10000, steps = 50
# nprocs, nthreads, total, comm, grid, idle, write
1,1,66.864278,0.001346,66.805658,0.000053,0.057118
1,1,66.793747,0.001422,66.730096,0.000054,0.062112
1,1,66.780046,0.001521,66.718794,0.000051,0.059620
1,1,66.904880,0.001330,66.836594,0.000053,0.066844
1,1,66.882822,0.001359,66.822756,0.000053,0.058591
1,2,33.625937,0.001254,33.558338,0.001354,0.065483
1,2,33.554837,0.001224,33.489720,0.001297,0.063040
1,2,33.623807,0.001265,33.562206,0.001320,0.059493
1,2,33.614372,0.001204,33.553126,0.001290,0.059165
1,2,33.622858,0.001155,33.560743,0.001224,0.060089
1,3,22.501073,0.001192,22.431626,0.002097,0.067363
1,3,22.482176,0.001048,22.411629,0.001924,0.068647
1,3,22.486212,0.001019,22.402121,0.001951,0.082206
1,3,22.503678,0.001163,22.432931,0.002093,0.068677
1,3,22.479912,0.001038,22.407399,0.001909,0.070623
1,4,16.959396,0.000944,16.889677,0.001739,0.068026
1,4,16.947485,0.000963,16.876319,0.001845,0.069310
1,4,16.957713,0.000964,16.882120,0.001807,0.073781
1,4,16.983515,0.001166,16.912716,0.001962,0.068852
1,4,16.937998,0.001174,16.866410,0.002031,0.069578
1,5,13.599345,0.000963,13.528880,0.001813,0.068666
1,5,13.619584,0.000994,13.547335,0.001899,0.070374
1,5,13.605925,0.000979,13.532785,0.001893,0.071278
1,5,13.611814,0.001105,13.526893,0.002132,0.082778
1,5,13.607524,0.000976,13.535518,0.002033,0.069995
1,6,11.406792,0.000871,11.331512,0.001907,0.073400
1,6,11.404590,0.000911,11.332157,0.001942,0.070504
1,6,11.402794,0.000881,11.331453,0.001766,0.069520
1,6,11.396497,0.000828,11.328698,0.001628,0.066165
1,6,11.401368,0.000940,11.331573,0.001983,0.067814
1,7,9.785654,0.001077,9.712589,0.002063,0.070975
1,7,9.783544,0.000885,9.709168,0.001782,0.072594
1,7,9.786430,0.000874,9.713300,0.001775,0.071338
1,7,9.789161,0.000985,9.716731,0.002148,0.070269
1,7,9.814201,0.000910,9.739989,0.001744,0.072452
1,8,8.641153,0.000838,8.568635,0.001676,0.070809
1,8,8.646820,0.000895,8.572280,0.001937,0.072583
1,8,8.637740,0.000834,8.565567,0.005789,0.070419
1,8,8.647469,0.000829,8.573937,0.001712,0.071777
1,8,8.639953,0.000874,8.566392,0.001684,0.071880
1,9,7.662290,0.000836,7.590354,0.001699,0.070218
1,9,7.669506,0.000802,7.595504,0.001611,0.072399
1,9,7.645948,0.000773,7.573258,0.001785,0.070811
1,9,7.675046,0.000799,7.602378,0.001604,0.071006
1,9,7.674147,0.000888,7.600605,0.001833,0.071701
1,10,6.891279,0.000795,6.816318,0.001697,0.073258
1,10,6.876223,0.000975,6.804318,0.001850,0.070048
1,10,6.890671,0.000820,6.816267,0.002072,0.072543
1,10,6.883188,0.000915,6.810542,0.001835,0.070749
1,10,6.885028,0.001105,6.813167,0.002203,0.069624
1,11,6.272065,0.000732,6.197087,0.001567,0.073398
1,11,6.261670,0.000745,6.187091,0.001577,0.072884
1,11,6.251444,0.000890,6.182410,0.001731,0.067255
1,11,6.268923,0.000712,6.194438,0.001505,0.072970
1,11,6.256833,0.000848,6.182638,0.001640,0.072541
1,12,5.753906,0.000657,5.657905,0.001434,0.094572
1,12,5.723106,0.000631,5.651473,0.001447,0.070187
1,12,5.724202,0.000706,5.651235,0.001533,0.071426
1,12,5.722530,0.000662,5.650666,0.001494,0.070378
1,12,5.725899,0.000892,5.651638,0.001646,0.072545
1,13,5.274771,0.000544,5.203452,0.001346,0.069974
