# nprocs, nthreads, total, comm, grid, idle, write
4,1,16.876744,0.273000,16.671523,0.008465,0.108025
4,2,8.531542,0.094626,8.310007,0.107405,0.127197
4,3,5.846037,0.075900,5.596473,0.114557,0.175701
4,4,4.580287,0.047868,4.197309,0.082666,0.311376
4,5,3.566887,0.043903,3.341041,0.083995,0.148693
4,6,3.126019,0.039959,2.808049,0.074065,0.249614
4,7,2.642559,0.048363,2.421176,0.084985,0.149205
4,8,2.403245,0.056140,2.157922,0.096872,0.169082
4,9,2.153261,0.052497,1.901567,0.094810,0.177823
4,10,2.113730,0.042474,1.693325,0.087491,0.342286
4,11,2.184743,0.034782,1.558921,0.083168,0.551030
4,12,1.980976,0.044568,1.440525,0.094697,0.466595
4,13,1.656459,0.044094,1.370781,0.096247,0.210292
4,14,1.531855,0.031979,1.237340,0.092557,0.216124
4,15,1.471621,0.041420,1.174121,0.100576,0.213092
4,16,1.792352,0.030475,1.100530,0.092553,0.607901
4,17,1.494509,0.028586,1.042123,0.093016,0.372783
4,18,1.379653,0.041330,0.983504,0.103106,0.312229
4,19,1.391031,0.032821,0.968877,0.093666,0.338983
4,20,1.458821,0.041614,0.912685,0.104562,0.458904
4,21,1.363379,0.029818,0.843172,0.090025,0.437653
4,22,1.371763,0.037955,0.844949,0.096690,0.443757
4,23,1.430109,0.029986,0.779081,0.090449,0.568092
4,24,1.324662,0.060789,0.803680,0.120945,0.438780
4,25,1.503125,0.026869,0.715191,0.090105,0.705697
4,26,2.008095,0.039477,0.725324,0.100862,1.202709
4,27,1.241184,0.040977,0.720144,0.100058,0.439722
4,28,1.138074,0.032769,0.651708,0.092683,0.402662
4,29,1.291025,0.027196,0.648150,0.087917,0.561514
4,30,1.383103,0.030336,0.642936,0.090663,0.654280
4,31,1.248924,0.053500,0.662509,0.114739,0.502993
4,32,1.486785,0.029967,0.588259,0.090988,0.817364
4,33,1.349838,0.034635,0.586078,0.095854,0.675532
4,34,1.291323,0.039367,0.584913,0.101489,0.624450
4,35,1.949390,0.034932,0.584473,0.093851,1.281215
4,36,1.361050,0.041530,0.524090,0.102378,0.755395
4,37,1.405764,0.034602,0.529803,0.095857,0.792567
4,38,1.345534,0.032031,0.525474,0.091409,0.736295
4,39,1.327387,0.037553,0.528169,0.096672,0.712431
4,40,1.511778,0.046065,0.536618,0.106598,0.889811
4,41,1.294214,0.032591,0.517500,0.094526,0.687171
4,42,1.383296,0.031521,0.462443,0.089932,0.836383
4,43,1.853111,0.033441,0.466234,0.094648,1.300480
4,44,1.260984,0.027667,0.463528,0.086250,0.717317
4,45,1.493678,0.218513,0.503450,0.297935,0.734146
4,46,1.309259,0.031088,0.465036,0.089596,0.760946
4,47,1.654871,0.029712,0.465369,0.087735,1.108904
4,48,1.564730,0.035661,0.458496,0.100758,1.015531
4,49,1.355899,0.022346,0.459612,0.082045,0.818884
4,50,1.559549,0.032710,0.406535,0.093507,1.068508
4,51,1.577842,0.060861,0.426308,0.120814,1.061583
4,52,1.663244,0.026210,0.406171,0.089366,1.175301
4,53,1.759195,0.039294,0.404147,0.099146,1.277027
4,54,1.584201,0.046012,0.405312,0.106429,1.099848
4,55,1.807589,0.023990,0.404144,0.084091,1.322885
4,56,1.557245,0.028687,0.405873,0.090109,1.066357
4,57,1.674140,0.034538,0.416174,0.099646,1.172924
4,58,1.980341,0.027639,0.409121,0.087969,1.490985
4,59,1.868291,0.031106,0.409544,0.092416,1.376209
4,60,1.837166,0.104946,0.424125,0.169785,1.268438
4,61,1.794119,0.043423,0.406675,0.104451,1.291807
4,62,1.849395,0.030409,0.404990,0.092950,1.361702
4,63,1.559282,0.028917,0.349512,0.094366,1.123229
4,64,1.777355,0.034551,0.355512,0.101043,1.333716
