(p: 0, t: 51) Comm: 0.000000, Grid: 0.331596, Idle: 0.073537
(p: 0, t: 15) Comm: 0.000000, Grid: 0.331857, Idle: 0.073276
(p: 0, t: 38) Comm: 0.000000, Grid: 0.331982, Idle: 0.073146
(p: 0, t: 17) Comm: 0.000000, Grid: 0.331595, Idle: 0.073539
(p: 0, t: 29) Comm: 0.000000, Grid: 0.331631, Idle: 0.073501
(p: 0, t: 36) Comm: 0.000000, Grid: 0.331660, Idle: 0.073475
(p: 0, t: 3) Comm: 0.000000, Grid: 0.331619, Idle: 0.073513
(p: 0, t: 21) Comm: 0.000000, Grid: 0.331634, Idle: 0.073502
(p: 0, t: 61) Comm: 0.000000, Grid: 0.331636, Idle: 0.073499
(p: 0, t: 32) Comm: 0.000000, Grid: 0.331626, Idle: 0.073498
(p: 0, t: 31) Comm: 0.000000, Grid: 0.331843, Idle: 0.073290
(p: 0, t: 5) Comm: 0.000000, Grid: 0.331818, Idle: 0.073315
(p: 0, t: 53) Comm: 0.000000, Grid: 0.331811, Idle: 0.073314
(p: 0, t: 25) Comm: 0.000000, Grid: 0.331629, Idle: 0.073500
(p: 0, t: 6) Comm: 0.000000, Grid: 0.331666, Idle: 0.073481
(p: 0, t: 28) Comm: 0.000000, Grid: 0.331664, Idle: 0.073458
(p: 0, t: 44) Comm: 0.000000, Grid: 0.331675, Idle: 0.073455
(p: 0, t: 60) Comm: 0.000000, Grid: 0.331672, Idle: 0.073456
(p: 0, t: 16) Comm: 0.000000, Grid: 0.331623, Idle: 0.073499
(p: 0, t: 48) Comm: 0.000000, Grid: 0.331633, Idle: 0.073491
(p: 0, t: 0) Comm: 0.007378, Grid: 0.331595, Idle: 0.065647
(p: 0, t: 20) Comm: 0.000000, Grid: 0.331660, Idle: 0.073471
(p: 0, t: 1) Comm: 0.000000, Grid: 0.331667, Idle: 0.073462
(p: 0, t: 52) Comm: 0.000000, Grid: 0.331674, Idle: 0.073459
(p: 0, t: 57) Comm: 0.000000, Grid: 0.331830, Idle: 0.073298
(p: 0, t: 37) Comm: 0.000000, Grid: 0.331901, Idle: 0.073222
(p: 0, t: 27) Comm: 0.000000, Grid: 0.331832, Idle: 0.073298
(p: 0, t: 39) Comm: 0.000000, Grid: 0.331699, Idle: 0.073438
(p: 0, t: 55) Comm: 0.000000, Grid: 0.331621, Idle: 0.073494
(p: 0, t: 10) Comm: 0.000000, Grid: 0.331634, Idle: 0.073496
(p: 0, t: 59) Comm: 0.000000, Grid: 0.331632, Idle: 0.073501
(p: 0, t: 43) Comm: 0.000000, Grid: 0.331685, Idle: 0.073445
(p: 0, t: 8) Comm: 0.000000, Grid: 0.331560, Idle: 0.073571
(p: 0, t: 18) Comm: 0.000000, Grid: 0.331553, Idle: 0.073573
(p: 0, t: 50) Comm: 0.000000, Grid: 0.331565, Idle: 0.073563
(p: 0, t: 33) Comm: 0.000000, Grid: 0.331634, Idle: 0.073502
(p: 0, t: 7) Comm: 0.000000, Grid: 0.331627, Idle: 0.073502
(p: 0, t: 24) Comm: 0.000000, Grid: 0.331670, Idle: 0.073461
(p: 0, t: 56) Comm: 0.000000, Grid: 0.331677, Idle: 0.073450
(p: 0, t: 2) Comm: 0.000000, Grid: 0.331663, Idle: 0.073466
(p: 0, t: 40) Comm: 0.000000, Grid: 0.331679, Idle: 0.073454
(p: 0, t: 47) Comm: 0.000000, Grid: 0.331700, Idle: 0.073425
(p: 0, t: 23) Comm: 0.000000, Grid: 0.331822, Idle: 0.073311
(p: 0, t: 54) Comm: 0.000000, Grid: 0.331704, Idle: 0.073422
(p: 0, t: 42) Comm: 0.000000, Grid: 0.331783, Idle: 0.073339
(p: 0, t: 30) Comm: 0.000000, Grid: 0.331745, Idle: 0.073391
(p: 0, t: 14) Comm: 0.000000, Grid: 0.331745, Idle: 0.073374
(p: 0, t: 22) Comm: 0.000000, Grid: 0.331956, Idle: 0.073170
(p: 0, t: 11) Comm: 0.000000, Grid: 0.331943, Idle: 0.073181
(p: 0, t: 63) Comm: 0.007226, Grid: 0.331888, Idle: 0.065468
(p: 0, t: 41) Comm: 0.000000, Grid: 0.331886, Idle: 0.073244
(p: 0, t: 26) Comm: 0.000000, Grid: 0.331822, Idle: 0.073297
(p: 0, t: 46) Comm: 0.000000, Grid: 0.331878, Idle: 0.073246
(p: 0, t: 58) Comm: 0.000000, Grid: 0.331789, Idle: 0.073336
(p: 0, t: 4) Comm: 0.000000, Grid: 0.331831, Idle: 0.073300
(p: 0, t: 9) Comm: 0.000000, Grid: 0.331846, Idle: 0.073273
(p: 0, t: 19) Comm: 0.000000, Grid: 0.331827, Idle: 0.073302
(p: 0, t: 62) Comm: 0.000000, Grid: 0.331890, Idle: 0.073228
(p: 0, t: 45) Comm: 0.000000, Grid: 0.331832, Idle: 0.073294
(p: 0, t: 12) Comm: 0.000000, Grid: 0.331892, Idle: 0.073242
(p: 0, t: 35) Comm: 0.000000, Grid: 0.331837, Idle: 0.073288
(p: 0, t: 49) Comm: 0.000000, Grid: 0.331818, Idle: 0.073309
(p: 0, t: 34) Comm: 0.000000, Grid: 0.331598, Idle: 0.073534
(p: 0, t: 13) Comm: 0.000000, Grid: 0.331632, Idle: 0.073502
Elapsed time: 0.422938 s
# nprocs, nthreads, total, procrank, thid, comm, grid, idle, write
4,1,16.898338,0,0,0.293219,16.505128,0.008152,0.089397
4,1,16.898366,1,0,0.310759,16.488036,0.007670,0.089372
4,1,16.898347,3,0,0.114202,16.685249,0.006934,0.089383
4,1,16.898350,2,0,0.183405,16.616109,0.007023,0.089360
4,2,8.528479,0,0,0.087916,8.288794,0.027143,0.122744
4,2,8.528479,0,1,0.012689,8.288691,0.102477,0.122744
4,2,8.528481,1,0,0.064694,8.267777,0.071318,0.122718
4,2,8.528493,1,1,0.059629,8.267640,0.076628,0.122732
4,2,8.528460,2,1,0.029955,8.314795,0.059059,0.122719
4,2,8.528469,2,0,0.047222,8.314895,0.041730,0.122728
4,2,8.528465,3,0,0.062828,8.295594,0.045357,0.122716
4,2,8.528475,3,1,0.033793,8.296897,0.073181,0.122729
4,3,6.033857,0,1,0.000000,5.589144,0.110015,0.333362
4,3,6.033857,0,0,0.077849,5.590327,0.030437,0.333361
4,3,6.033866,1,1,0.000000,5.557725,0.141545,0.333266
4,3,6.033886,1,0,0.081702,5.558302,0.058639,0.333284
4,3,6.033880,1,2,0.043131,5.558549,0.097046,0.333280
4,3,6.033859,0,2,0.012860,5.590097,0.095609,0.333362
4,3,6.033858,2,2,0.034980,5.587194,0.076459,0.333308
4,3,6.033866,2,1,0.000000,5.587301,0.111916,0.333316
4,3,6.033866,3,0,0.050029,5.590966,0.057554,0.333302
4,3,6.033877,3,1,0.000000,5.590170,0.109064,0.333313
4,3,6.033881,3,2,0.042758,5.591166,0.064763,0.333315
4,3,6.033868,2,0,0.060404,5.587074,0.051160,0.333317
4,4,4.420658,0,3,0.018981,4.199268,0.055411,0.145069
4,4,4.420659,0,2,0.000000,4.197821,0.076442,0.145070
4,4,4.420658,0,0,0.038317,4.199695,0.035673,0.145069
4,4,4.420657,0,1,0.000000,4.199177,0.075083,0.145069
4,4,4.420670,1,0,0.041816,4.184836,0.047043,0.145046
4,4,4.420686,1,2,0.000000,4.184043,0.090256,0.145062
4,4,4.420686,1,1,0.000000,4.184330,0.089967,0.145063
4,4,4.420688,1,3,0.028846,4.186624,0.058302,0.145064
4,4,4.420677,2,3,0.011949,4.196760,0.064961,0.145071
4,4,4.420715,2,0,0.049960,4.194944,0.028811,0.145108
4,4,4.420693,2,2,0.000000,4.195127,0.079150,0.145085
4,4,4.420692,3,1,0.000000,4.176875,0.097388,0.145095
4,4,4.420688,3,3,0.031303,4.178559,0.063884,0.145093
4,4,4.420695,3,2,0.000000,4.177003,0.097259,0.145099
4,4,4.420692,2,1,0.000000,4.195462,0.078806,0.145085
4,4,4.420698,3,0,0.047699,4.177316,0.048609,0.145102
4,5,3.606704,0,4,0.015601,3.352232,0.059294,0.177661
4,5,3.606705,0,3,0.000000,3.348540,0.079178,0.177662
4,5,3.606689,1,1,0.000000,3.332326,0.095403,0.177624
4,5,3.606698,1,2,0.000000,3.332266,0.095468,0.177633
4,5,3.606699,1,3,0.000000,3.331470,0.096273,0.177635
4,5,3.606697,1,4,0.029595,3.333571,0.064054,0.177635
4,5,3.606704,0,2,0.000000,3.349669,0.078043,0.177662
4,5,3.606703,0,1,0.000000,3.349688,0.078032,0.177661
4,5,3.606703,1,0,0.047020,3.331734,0.048378,0.177637
4,5,3.606703,0,0,0.041997,3.350013,0.035146,0.177661
4,5,3.606674,2,4,0.012744,3.344717,0.069669,0.177635
4,5,3.606680,2,0,0.051547,3.343443,0.032156,0.177640
4,5,3.606671,3,4,0.032340,3.335348,0.059524,0.177625
4,5,3.606682,3,0,0.042671,3.333225,0.051208,0.177635
4,5,3.606683,3,2,0.000000,3.334605,0.093111,0.177636
4,5,3.606682,3,1,0.000000,3.333967,0.093771,0.177636
4,5,3.606683,2,2,0.000000,3.342897,0.084807,0.177643
4,5,3.606682,3,3,0.000000,3.333944,0.093756,0.177636
4,5,3.606684,2,3,0.000000,3.341901,0.085807,0.177644
4,5,3.606685,2,1,0.000000,3.342398,0.085311,0.177644
4,6,3.073636,0,4,0.000000,2.803964,0.074198,0.194148
4,6,3.073636,0,3,0.000000,2.803543,0.074616,0.194149
4,6,3.073642,1,2,0.000000,2.806696,0.071473,0.194145
4,6,3.073650,1,0,0.028079,2.805834,0.043600,0.194154
4,6,3.073650,1,3,0.000000,2.806614,0.071552,0.194155
4,6,3.073650,1,5,0.019126,2.807669,0.050880,0.194155
4,6,3.073636,0,0,0.034777,2.802980,0.039840,0.194148
4,6,3.073651,1,4,0.000000,2.805739,0.072424,0.194156
4,6,3.073655,1,1,0.000000,2.806828,0.071334,0.194158
4,6,3.073637,0,1,0.000000,2.803343,0.074820,0.194149
4,6,3.073601,2,4,0.000000,2.802687,0.075428,0.194155
4,6,3.073606,2,5,0.012601,2.804114,0.060812,0.194159
4,6,3.073634,0,2,0.000000,2.802237,0.075924,0.194149
4,6,3.073634,0,5,0.017976,2.804847,0.054789,0.194149
4,6,3.073598,3,1,0.000000,2.800576,0.077540,0.194155
4,6,3.073607,3,2,0.000000,2.801128,0.076989,0.194163
4,6,3.073609,2,3,0.000000,2.802399,0.075718,0.194160
4,6,3.073607,2,2,0.000000,2.802409,0.075700,0.194161
4,6,3.073607,3,4,0.000000,2.802173,0.075941,0.194163
4,6,3.073609,3,0,0.038372,2.801396,0.037754,0.194165
