# nprocs, nthreads, total, comm, grid, idle, write
1,16,9.331569,0.002511,9.260064,0.004077,0.067347
1,16,9.295079,0.002768,9.226270,0.004341,0.064285
1,16,9.320600,0.002216,9.238887,0.011183,0.063884
1,16,9.314777,0.002531,9.237286,0.004056,0.073350
1,16,9.321357,0.002004,9.229051,0.003665,0.088568
2,16,4.708624,0.053264,4.590372,0.055582,0.096478
2,16,4.651551,0.020214,4.558231,0.022081,0.074061
2,16,4.664855,0.027849,4.561799,0.029463,0.078296
2,16,4.832885,0.071768,4.698804,0.078180,0.083745
2,16,4.719505,0.042113,4.600113,0.047888,0.088395
3,16,3.184929,0.052009,2.960444,0.101440,0.171263
3,16,3.093310,0.022019,2.900310,0.030585,0.165572
3,16,3.086236,0.026395,2.912050,0.039205,0.157925
3,16,3.257611,0.059493,3.039302,0.083704,0.162201
3,16,3.206276,0.049381,2.992002,0.093688,0.168968
4,16,2.547774,0.179664,2.317767,0.228253,0.157837
4,16,2.480067,0.141698,2.292206,0.155204,0.152167
4,16,2.526429,0.167391,2.269354,0.193889,0.169154
4,16,2.398613,0.049082,2.186847,0.076306,0.170459
4,16,2.739137,0.276738,2.417387,0.325990,0.186653
5,16,3.552776,0.153181,1.818545,0.169779,1.707704
5,16,3.491848,0.138339,1.805249,0.168257,1.648912
5,16,3.701035,0.090267,1.756090,0.124906,1.901582
5,16,3.544080,0.088027,1.785914,0.134871,1.729793
5,16,3.547239,0.235285,1.845634,0.267512,1.606649
6,16,3.159309,0.093213,1.474847,0.113972,1.644843
6,16,3.482684,0.183472,1.546774,0.216170,1.864525
6,16,3.208928,0.147068,1.518065,0.150090,1.658181
6,16,3.558201,0.183984,1.516093,0.192451,1.964554
6,16,3.313322,0.102676,1.492587,0.114464,1.797998
7,16,3.012117,0.167286,1.322504,0.177500,1.632924
7,16,3.124125,0.178140,1.334035,0.202809,1.724089
7,16,3.191103,0.324389,1.421769,0.336204,1.649144
7,16,3.852913,0.143617,1.315325,0.150636,2.502690
7,16,3.402526,0.269097,1.389420,0.294341,1.906348
8,16,2.863309,0.260375,1.244814,0.268801,1.538034
8,16,3.026720,0.174633,1.196922,0.181859,1.786686
8,16,2.962360,0.166016,1.186171,0.171744,1.735035
8,16,2.733813,0.076332,1.108463,0.083805,1.595769
8,16,2.854005,0.100122,1.130376,0.110101,1.690595
9,16,2.830102,0.170636,1.071391,0.179324,1.715119
9,16,3.384863,0.272206,1.125918,0.282050,2.162761
9,16,2.652522,0.099246,0.998612,0.106445,1.610210
9,16,2.884498,0.268166,1.148364,0.277568,1.675770
9,16,2.960039,0.202887,1.087007,0.214615,1.806842
10,16,2.881554,0.142791,0.950150,0.152775,1.886534
10,16,2.967041,0.062224,0.883431,0.067973,2.058684
10,16,2.915556,0.295753,1.050034,0.301581,1.799478
10,16,2.769274,0.215349,1.013228,0.221749,1.702725
10,16,2.622882,0.102246,0.923190,0.105822,1.675455
11,16,2.541048,0.119226,0.837228,0.125197,1.654261
11,16,2.988417,0.194204,0.910352,0.202784,2.022270
11,16,2.722424,0.214843,0.926821,0.224558,1.734666
11,16,2.667990,0.155689,0.888155,0.159070,1.745362
11,16,2.585742,0.127498,0.865150,0.132959,1.689547
12,16,2.673863,0.260028,0.889495,0.261990,1.706046
12,16,2.422817,0.057796,0.746198,0.061733,1.653987
12,16,2.813925,0.127569,0.813632,0.130930,1.974800
12,16,2.509974,0.050711,0.744997,0.055952,1.746868
12,16,2.879327,0.060301,0.743404,0.067951,2.103999
13,16,2.998245,0.129312,0.766152,0.132442,2.210852
13,16,2.949044,0.059382,0.696928,0.065008,2.229608
13,16,2.973452,0.092335,0.727545,0.100178,2.219338
13,16,2.500620,0.068791,0.698069,0.073110,1.773927
13,16,2.525742,0.063772,0.705543,0.069459,1.802469
14,16,2.541648,0.061841,0.639034,0.067597,1.872537
14,16,2.474803,0.078198,0.651697,0.087031,1.786220
14,16,2.319752,0.090264,0.680559,0.098552,1.619645
14,16,2.475378,0.076545,0.649471,0.079603,1.794976
14,16,2.511447,0.057222,0.642245,0.067170,1.842796
15,16,2.352258,0.054408,0.598359,0.059522,1.731405
15,16,2.415392,0.070426,0.613662,0.077927,1.775983
15,16,2.506854,0.104353,0.636920,0.110412,1.834656
15,16,3.557585,0.057427,0.604484,0.062033,2.934669
15,16,2.325433,0.059303,0.603296,0.065589,1.699637
16,16,1.667109,0.055273,0.568655,0.065569,1.069009
16,16,3.163690,0.063341,0.576230,0.067546,2.562657
16,16,1.600460,0.085488,0.601360,0.093439,0.973698
16,16,1.600952,0.052822,0.564845,0.057709,1.010244
16,16,1.780279,0.096748,0.579594,0.104663,1.141649
