# nprocs, nthreads, total, comm, grid, idle, write
1,64,2.251343,0.000738,2.179863,0.002291,0.069055
1,64,2.303756,0.000810,2.218897,0.002457,0.082401
1,64,2.324276,0.000708,2.248325,0.002374,0.073644
1,64,2.343894,0.000731,2.269046,0.006183,0.072291
1,64,2.333819,0.000791,2.228306,0.016629,0.087843
2,64,3.294528,1.846738,3.138168,1.874258,0.083663
2,64,3.234689,1.819013,3.083836,1.869494,0.086745
2,64,3.264637,1.743764,3.164871,1.777409,0.077870
2,64,3.371593,1.834879,3.179078,1.882032,0.170065
2,64,3.310740,1.805957,3.215662,1.870917,0.079862
3,64,4.265261,1.708324,2.360871,1.729716,1.800213
3,64,4.360194,1.763968,2.396863,1.777384,1.838153
3,64,4.431158,1.643818,2.346951,1.650616,2.041971
3,64,4.199952,1.748337,2.455040,1.754924,1.704346
3,64,4.103693,1.674474,2.357819,1.681748,1.681242
4,64,3.890362,1.531643,1.934213,1.538623,1.800903
4,64,4.206097,1.654986,2.041728,1.661880,1.998095
4,64,4.005167,1.598760,2.015928,1.608185,1.846304
4,64,3.896070,1.487249,1.973017,1.494138,1.848699
4,64,4.057183,1.649983,2.015559,1.657780,1.847728
5,64,3.895496,1.542559,1.914368,1.549801,1.905728
5,64,3.932735,1.560045,1.910633,1.568088,1.912303
5,64,4.059503,1.610064,1.925636,1.617091,1.988953
5,64,3.746235,1.546356,1.921764,1.553630,1.755715
5,64,3.728315,1.480449,1.893044,1.488902,1.793606
6,64,3.220202,1.039574,1.124609,1.044758,1.810567
6,64,3.302692,1.105123,1.077817,1.110310,1.847901
6,64,3.436504,1.008045,1.168330,1.013280,2.081252
6,64,3.409743,1.164464,1.178672,1.169851,1.875683
6,64,3.358808,1.135396,1.180562,1.140535,1.864205
7,64,3.079340,1.030669,1.136793,1.039784,1.735890
7,64,3.090123,0.996218,1.160776,1.003204,1.772069
7,64,3.223498,1.002831,1.168676,1.008012,1.911800
7,64,3.200739,1.124175,1.190592,1.129673,1.763377
7,64,3.198577,1.044523,1.173960,1.049916,1.843522
8,64,3.032002,0.944224,1.068362,0.954716,1.827317
8,64,3.192521,1.105208,1.169274,1.110560,1.812749
8,64,3.340640,0.945468,1.033168,0.953140,2.114165
8,64,3.089684,1.008098,1.103448,1.022027,1.794411
8,64,3.065832,0.942938,1.065163,0.963794,1.828063
