# nprocs, nthreads, total, comm, grid, idle, write
1,16,41.795621,0.005820,41.751676,0.018141,0.026129
1,16,41.852401,0.008230,41.805793,0.020320,0.026456
1,16,41.858203,0.006866,41.814902,0.018932,0.024771
1,16,41.857649,0.008388,41.811524,0.022314,0.024020
1,16,41.812718,0.007968,41.766776,0.021815,0.024755
2,16,21.074591,0.080383,20.998712,0.090934,0.026176
2,16,21.066823,0.074661,21.000471,0.085161,0.026656
2,16,21.066777,0.077983,21.003747,0.088456,0.026953
2,16,21.090988,0.105558,21.016987,0.116199,0.028200
2,16,21.070360,0.077387,20.979342,0.087870,0.027664
3,16,14.147310,0.066833,14.060185,0.093557,0.039170
3,16,14.138639,0.064325,14.053946,0.085266,0.041415
3,16,14.146870,0.074864,14.065349,0.096332,0.041009
3,16,14.136305,0.063111,14.051598,0.084370,0.040817
3,16,14.174776,0.099669,14.089853,0.121760,0.040980
4,16,10.644105,0.041781,10.555699,0.063785,0.040397
4,16,10.645030,0.040083,10.556448,0.060827,0.040058
4,16,10.675061,0.072688,10.589489,0.091792,0.041018
4,16,10.646012,0.040063,10.558472,0.057765,0.044864
4,16,10.656897,0.044498,10.568605,0.066232,0.041779
5,16,8.518552,0.037617,8.419109,0.063501,0.054848
5,16,8.511498,0.037467,8.420540,0.074513,0.040722
5,16,8.534068,0.067432,8.446398,0.095919,0.041330
5,16,8.536785,0.065840,8.444635,0.097458,0.043248
5,16,8.545092,0.071931,8.455900,0.110817,0.041780
6,16,7.200837,0.068776,7.097572,0.094883,0.051071
6,16,7.166486,0.046411,7.067812,0.072231,0.043567
6,16,7.165985,0.045335,7.070076,0.066111,0.041619
6,16,7.172161,0.047283,7.077873,0.074495,0.045724
6,16,7.169182,0.046373,7.074288,0.074853,0.042451
7,16,6.136904,0.068065,6.043183,0.096675,0.044618
7,16,6.114549,0.047275,6.021323,0.075863,0.044342
7,16,6.113307,0.047317,6.013508,0.073896,0.043770
7,16,6.108984,0.044688,6.012907,0.073736,0.042293
7,16,6.115828,0.044930,6.013723,0.077282,0.042389
8,16,5.468430,0.070528,5.349001,0.097496,0.042258
8,16,5.528836,0.090451,5.373550,0.121740,0.077033
8,16,5.482534,0.069104,5.349721,0.113299,0.042152
8,16,5.472929,0.075744,5.362014,0.103381,0.042485
8,16,5.455304,0.048716,5.349712,0.078139,0.041760
9,16,5.379116,0.082468,4.697941,0.144383,0.586281
9,16,5.551481,0.090224,4.688737,0.126750,0.771455
9,16,5.405421,0.090731,4.690539,0.128638,0.628690
9,16,5.352615,0.083850,4.687580,0.128190,0.571921
9,16,5.365500,0.094410,4.722249,0.169317,0.545517
10,16,4.873199,0.078513,4.272050,0.114808,0.524616
10,16,5.084171,0.084053,4.290733,0.129348,0.720405
10,16,4.985119,0.104069,4.280485,0.140579,0.612468
10,16,5.435682,0.112861,4.282245,0.148047,1.055180
10,16,5.259535,0.085440,4.271807,0.124522,0.902093
11,16,4.592263,0.111637,3.887298,0.147285,0.603045
11,16,4.610417,0.093609,3.890113,0.131487,0.635786
11,16,4.562315,0.099843,3.920398,0.165301,0.553784
11,16,4.765726,0.078062,3.894907,0.122590,0.799659
11,16,4.684311,0.078535,3.882557,0.117460,0.723870
12,16,4.341332,0.209309,3.616192,0.242064,0.646895
12,16,4.760920,0.218298,3.618997,0.255615,1.052278
12,16,4.666559,0.249122,3.621515,0.281388,0.931417
12,16,4.344555,0.211589,3.609835,0.240436,0.651718
12,16,4.682261,0.217328,3.619174,0.264963,0.963052
13,16,4.283199,0.219639,3.356766,0.260107,0.832854
13,16,4.063442,0.214551,3.361112,0.258417,0.617582
13,16,4.016993,0.207559,3.349927,0.247434,0.582051
13,16,4.367210,0.213615,3.351656,0.250557,0.928464
13,16,4.196618,0.218724,3.356146,0.255786,0.752175
14,16,3.769596,0.116374,3.094239,0.153828,0.562472
14,16,3.734237,0.081701,3.090657,0.117077,0.565452
14,16,3.914360,0.114543,3.091250,0.151344,0.711159
14,16,3.770400,0.090648,3.104510,0.147158,0.570839
14,16,3.807203,0.087363,3.088118,0.126124,0.630091
15,16,3.469795,0.111482,2.836260,0.156551,0.521039
15,16,3.718544,0.087327,2.829359,0.130514,0.796630
15,16,3.659716,0.093289,2.834495,0.129572,0.738387
15,16,3.489054,0.106642,2.833695,0.136896,0.561407
15,16,3.723586,0.095351,2.823994,0.138544,0.792640
16,16,3.170306,0.102352,2.699661,0.138387,0.378456
16,16,3.169182,0.121181,2.702303,0.162882,0.352579
16,16,3.150678,0.107639,2.697916,0.158919,0.338885
16,16,3.481209,0.116762,2.709754,0.160556,0.666513
16,16,3.182429,0.112101,2.699156,0.157024,0.372785
17,16,3.033596,0.084005,2.558714,0.136208,0.375489
17,16,3.059346,0.095927,2.558089,0.135242,0.404243
17,16,3.053221,0.090304,2.567648,0.136417,0.393242
17,16,3.258941,0.087019,2.558905,0.127645,0.608964
17,16,3.055176,0.105420,2.564504,0.150554,0.382351
18,16,2.917915,0.099997,2.418313,0.149838,0.377736
18,16,2.959379,0.094073,2.428074,0.135666,0.434259
18,16,2.937487,0.095766,2.419105,0.145413,0.401372
18,16,3.172958,0.093570,2.423681,0.130808,0.652648
18,16,2.905750,0.100885,2.423199,0.134678,0.380579
19,16,3.242278,0.090780,2.293892,0.143564,0.840143
19,16,2.969402,0.092416,2.285908,0.137382,0.575426
19,16,2.865265,0.097572,2.284822,0.152961,0.454898
19,16,2.909977,0.091621,2.286662,0.129819,0.523689
19,16,2.873372,0.099981,2.294480,0.149648,0.469676
20,16,3.354371,0.091130,2.164561,0.131019,1.095412
20,16,3.105546,0.085218,2.152772,0.125386,0.853224
20,16,2.773108,0.092497,2.157593,0.152199,0.495123
20,16,2.903616,0.082194,2.155184,0.125631,0.651355
20,16,2.711098,0.125207,2.164690,0.172933,0.410294
21,16,2.623696,0.092481,2.030877,0.128627,0.500139
21,16,4.019522,0.088832,2.024132,0.131699,1.892402
21,16,2.973601,0.072757,2.021279,0.109458,0.868141
21,16,2.584627,0.088709,2.027538,0.125461,0.463742
21,16,4.480767,0.106882,2.028031,0.153832,2.334061
22,16,2.601553,0.073493,2.022476,0.107442,0.506125
22,16,2.732352,0.076456,2.020666,0.114265,0.627404
22,16,2.875019,0.093876,2.024441,0.141530,0.746960
22,16,2.735051,0.099181,2.022937,0.138764,0.605983
22,16,2.694465,0.122142,2.051386,0.164454,0.541113
23,16,2.743185,0.086487,1.889505,0.137323,0.743567
23,16,2.739008,0.078300,1.894767,0.120452,0.757946
23,16,2.843707,0.078536,1.887940,0.112998,0.868261
23,16,2.906679,0.085973,1.900194,0.118041,0.926044
23,16,2.583384,0.119132,1.898613,0.172806,0.546258
24,16,2.475966,0.220864,1.900808,0.256599,0.488334
24,16,2.485665,0.213787,1.885191,0.238418,0.517295
24,16,2.475928,0.207432,1.883739,0.228413,0.516360
