# nprocs, nthreads, total, comm, grid, idle, write
1,16,16.613387,0.000767,1.038312,15.544848,0.032861
1,16,16.664512,0.000764,1.043410,15.598128,0.023216
1,16,16.608560,0.000761,1.040956,15.552956,0.021539
1,16,16.656666,0.000775,1.050035,15.599662,0.019681
1,16,16.694482,0.000776,1.045670,15.628366,0.020753
2,16,16.616042,8.300875,0.520290,16.080048,0.182620
2,16,16.638987,8.314703,0.520857,16.104303,0.181955
2,16,16.641007,8.311579,0.521781,16.102888,0.183178
2,16,16.633948,8.303789,0.522176,16.096893,0.183544
2,16,16.647573,8.318131,0.522630,16.110608,0.183294
3,16,16.671771,11.092339,0.350904,16.295931,0.249182
3,16,16.673709,11.092477,0.348063,16.290402,0.254884
3,16,16.697138,11.117518,0.350283,16.316879,0.255744
3,16,16.793464,11.116808,0.348694,16.318527,0.350606
3,16,16.675309,11.098143,0.347711,16.299348,0.250859
4,16,16.787549,12.571903,0.265659,16.495778,0.280874
4,16,16.797608,12.578065,0.265784,16.507064,0.281089
4,16,16.769914,12.559818,0.264794,16.478731,0.279646
4,16,16.779991,12.563740,0.266699,16.487803,0.278608
4,16,16.775007,12.565961,0.264298,16.485386,0.278710
5,16,16.681432,13.308144,0.211259,16.442721,0.296686
5,16,16.674813,13.306851,0.211433,16.434807,0.296791
5,16,16.673458,13.297102,0.210687,16.424408,0.307416
5,16,16.683221,13.304639,0.210903,16.436216,0.304194
5,16,16.768899,13.316121,0.211415,16.443513,0.383378
6,16,17.081048,14.030555,0.177399,16.665600,0.519143
6,16,16.881396,14.029917,0.178347,16.673008,0.311771
6,16,16.880910,14.036636,0.178629,16.666942,0.316703
6,16,16.902264,14.046397,0.178863,16.683491,0.323152
6,16,17.135869,14.057467,0.178839,16.699108,0.536103
7,16,16.749032,14.316761,0.152297,16.559151,0.328675
7,16,16.805896,14.301642,0.153084,16.540021,0.402463
7,16,16.764923,14.319428,0.153083,16.565363,0.336991
7,16,16.751217,14.315514,0.153129,16.554332,0.335129
7,16,16.723245,14.302569,0.153747,16.537254,0.323818
8,16,16.867141,14.729749,0.133294,16.699801,0.328741
8,16,16.978885,14.748326,0.134863,16.731027,0.408667
8,16,16.879389,14.727126,0.134410,16.700480,0.339941
8,16,16.900230,14.748957,0.134906,16.722334,0.338016
8,16,17.207002,14.731416,0.134655,16.713512,0.656749
9,16,20.169080,16.968231,0.260384,18.725141,1.588721
9,16,19.988012,16.959579,0.260274,18.718802,1.414330
9,16,19.729489,16.958300,0.260855,18.711541,1.162887
9,16,19.868141,16.945383,0.260157,18.713328,1.300504
9,16,19.670103,16.945830,0.260398,18.699657,1.116886
10,16,21.341022,18.716873,0.238046,20.316022,1.174502
10,16,21.749058,18.715280,0.237892,20.324347,1.573138
10,16,21.485489,18.699806,0.237766,20.291210,1.341709
10,16,21.252791,18.712275,0.236863,20.309218,1.091187
10,16,21.775823,18.712402,0.237624,20.308307,1.616037
11,16,22.897309,20.209709,0.216455,21.726018,1.375252
11,16,22.941078,20.190612,0.216190,21.711940,1.430684
11,16,22.841638,20.191778,0.216003,21.711505,1.332599
11,16,23.097098,20.161312,0.215058,21.676219,1.623614
11,16,23.218696,20.201314,0.215965,21.722835,1.697672
12,16,24.073085,21.352474,0.193084,22.802102,1.511826
12,16,25.014704,21.363812,0.193165,22.817550,2.436899
12,16,23.900829,21.366291,0.193054,22.814738,1.327130
12,16,24.038624,21.367346,0.193077,22.820425,1.460482
12,16,23.755075,21.332858,0.192208,22.782878,1.214150
13,16,24.956093,22.481480,0.180469,23.873559,1.355922
13,16,25.137335,22.467633,0.180070,23.859656,1.549561
13,16,24.935038,22.477258,0.180388,23.876528,1.330866
13,16,24.773551,22.449099,0.179685,23.841397,1.207893
13,16,25.031904,22.466066,0.179824,23.858950,1.447034
14,16,26.054096,23.294956,0.171114,24.643246,1.723357
14,16,25.715671,23.293917,0.171069,24.642776,1.384005
14,16,25.681228,23.305153,0.171131,24.650093,1.340882
14,16,25.701744,23.288646,0.171137,24.638278,1.374579
14,16,25.684668,23.299584,0.171303,24.643130,1.349296
15,16,26.691079,24.067933,0.156279,25.374326,1.656824
15,16,26.804568,24.057481,0.156216,25.366023,1.777616
15,16,26.434501,24.075434,0.156209,25.386818,1.389160
15,16,26.507510,24.065733,0.156812,25.380812,1.467663
15,16,26.217542,24.038080,0.156271,25.346873,1.210068
16,16,26.832761,24.728459,0.148736,25.998228,1.190469
16,16,29.757604,24.718250,0.148697,25.984955,4.129941
16,16,27.195145,24.728989,0.148730,25.998818,1.555420
16,16,27.403934,24.751766,0.148783,26.021772,1.741896
16,16,26.675013,24.703475,0.148661,25.967829,1.063973
17,16,26.733333,24.610014,0.141347,25.541687,1.620335
17,16,26.664684,24.622448,0.141266,25.547444,1.545271
17,16,27.181940,24.590749,0.141392,25.520167,2.091081
17,16,26.734211,24.619429,0.141420,25.549180,1.614575
17,16,26.874711,24.585192,0.141365,25.518672,1.785470
18,16,26.253592,24.174851,0.133898,25.047581,1.628333
18,16,26.013442,24.179975,0.133880,25.052084,1.382396
18,16,25.702449,24.180200,0.135527,25.053776,1.074106
18,16,26.000108,24.184150,0.133953,25.055540,1.367703
18,16,26.390362,24.180279,0.134022,25.052479,1.759689
19,16,27.786940,23.762165,0.126470,24.593517,3.612979
19,16,25.890139,23.779187,0.126599,24.607658,1.699954
19,16,25.816795,23.758078,0.126408,24.586712,1.647908
19,16,25.679861,23.772986,0.126404,24.601471,1.496331
19,16,25.766594,23.769857,0.126503,24.600330,1.586169
20,16,25.911703,23.417186,0.119037,24.205964,2.119642
20,16,25.872580,23.421672,0.119192,24.207745,2.079701
20,16,26.204124,23.439299,0.122054,24.224363,2.395727
20,16,25.033648,23.410094,0.118968,24.197581,1.252017
20,16,24.936723,23.414373,0.119010,24.200668,1.151681
21,16,24.499072,23.102669,0.111755,23.850658,1.060358
21,16,26.207202,23.125947,0.111669,23.876067,2.743715
21,16,25.138696,23.111458,0.114119,23.859469,1.692335
21,16,25.050409,23.105523,0.111646,23.857263,1.607132
21,16,25.083402,23.150700,0.111867,23.903382,1.592274
22,16,24.663487,22.793155,0.111616,23.504483,1.564040
22,16,28.827524,22.790092,0.111485,23.500157,5.733306
22,16,24.592906,22.772686,0.111593,23.482913,1.515697
22,16,24.558613,22.801535,0.111653,23.511885,1.452242
22,16,24.152799,22.815455,0.111733,23.524420,1.034961
23,16,23.905832,22.518695,0.104049,23.204782,1.104295
23,16,24.464910,22.553289,0.104291,23.235835,1.632026
23,16,25.528203,22.565553,0.104286,23.248219,2.684128
23,16,24.878808,22.533766,0.104302,23.219372,2.062078
23,16,24.448180,22.586293,0.104266,23.270054,1.582070
24,16,23.649159,22.338589,0.096897,22.990962,1.057201
24,16,24.311495,22.300415,0.112854,22.951467,1.758874
24,16,23.779184,22.314901,0.096807,22.970287,1.206536
24,16,23.889590,22.320615,0.096761,22.974269,1.312968
24,16,23.903059,22.313503,0.096735,22.967371,1.335744
25,16,24.740420,22.824894,0.096946,23.454882,1.671793
25,16,24.635619,22.834736,0.098636,23.464333,1.558651
25,16,24.526288,22.844579,0.096767,23.481666,1.430549
25,16,25.745631,22.837290,0.101326,23.468333,2.663243
25,16,24.313187,22.822347,0.096718,23.454161,1.244505
26,16,24.584669,23.246360,0.089379,23.854572,1.105609
26,16,24.626596,23.276675,0.089352,23.883433,1.119629
26,16,25.590095,23.274174,0.089884,23.884061,2.081496
26,16,28.293876,23.290651,0.089579,23.899521,4.770331
26,16,25.232697,23.301354,0.089323,23.907659,1.698582
27,16,26.693972,23.735952,0.090055,24.350798,2.733525
27,16,26.206196,23.701009,0.091467,24.316757,2.281707
27,16,26.944786,23.723203,0.090212,24.338377,2.996682
27,16,25.356006,23.714102,0.090210,24.329633,1.418878
27,16,25.351058,23.677250,0.090157,24.292203,1.450650
28,16,26.501387,24.092195,0.091510,24.709277,2.192994
28,16,25.750250,24.087248,0.091546,24.701383,1.448938
28,16,25.845275,24.074646,0.090458,24.689551,1.557331
28,16,26.317744,24.087339,0.090464,24.702482,2.015311
28,16,25.490466,24.102355,0.090315,24.714719,1.176533
29,16,26.594077,24.499563,0.082858,25.121539,1.887737
29,16,26.742618,24.490775,0.083200,25.112582,2.044560
29,16,25.895092,24.507086,0.082498,25.129655,1.181521
29,16,28.178939,24.510720,0.082967,25.132011,3.462664
29,16,25.982348,24.525809,0.083204,25.148491,1.248365
30,16,26.535758,24.833802,0.082655,25.453379,1.506122
30,16,27.409679,24.841450,0.083117,25.459800,2.371287
30,16,26.501631,24.850989,0.083480,25.472185,1.452079
30,16,27.325921,24.784590,0.083700,25.404814,2.344387
30,16,26.747852,24.788342,0.082164,25.408412,1.762776
31,16,26.725549,25.146310,0.081495,25.765732,1.388665
31,16,26.647903,25.138393,0.081895,25.759960,1.316804
31,16,26.567912,25.127352,0.081706,25.746554,1.248711
31,16,26.651786,25.161738,0.097576,25.783740,1.295418
31,16,26.318643,25.157074,0.081745,25.776220,0.970428
32,16,26.717546,25.460305,0.075388,26.088227,1.070426
32,16,30.600718,25.463292,0.075153,26.092124,4.958529
32,16,26.873913,25.507951,0.077864,26.134896,1.180132
32,16,26.841326,25.460278,0.075687,26.089137,1.192472
32,16,26.751114,25.477286,0.075325,26.105494,1.086952
