# nprocs, nthreads, total, comm, grid, idle, write
1,64,10.632392,0.005850,10.582697,0.033934,0.020752
1,64,10.632242,0.005637,10.577982,0.034176,0.025024
1,64,10.634028,0.005614,10.572362,0.034189,0.032572
1,64,10.641929,0.005825,10.586152,0.034553,0.025288
1,64,10.657818,0.005677,10.604769,0.033797,0.022999
2,64,5.445338,0.050288,5.355134,0.076065,0.023051
2,64,5.432200,0.045804,5.354954,0.070403,0.023970
2,64,5.442655,0.044538,5.361500,0.071694,0.023173
2,64,5.443259,0.046343,5.360411,0.071646,0.022978
2,64,5.476368,0.059388,5.373381,0.086898,0.025096
3,64,4.349515,0.068144,3.674901,0.141466,0.617052
3,64,4.385583,0.087296,3.656559,0.132867,0.662052
3,64,4.313708,0.071190,3.643334,0.113792,0.612924
3,64,4.303101,0.062249,3.637345,0.108896,0.606784
3,64,4.320192,0.058851,3.649937,0.120450,0.608376
4,64,3.343894,0.080283,2.716509,0.116364,0.554964
4,64,3.436796,0.079912,2.711926,0.137927,0.618322
4,64,3.338178,0.069876,2.713561,0.109265,0.557561
4,64,3.401710,0.084600,2.716474,0.141761,0.585672
4,64,3.967593,0.093906,2.729791,0.135176,1.156630
5,64,2.898229,0.073614,2.192753,0.133385,0.622455
5,64,2.802511,0.065245,2.183376,0.122638,0.539070
5,64,2.827038,0.063114,2.182205,0.104803,0.581978
5,64,2.956743,0.063519,2.182527,0.115917,0.700754
5,64,2.838641,0.059127,2.180849,0.102787,0.596804
6,64,2.618517,0.075736,1.902242,0.116262,0.633307
6,64,2.640707,0.068548,1.903767,0.110204,0.663897
6,64,2.727296,0.066811,1.900364,0.116594,0.744238
6,64,2.742995,0.063848,1.903503,0.105334,0.773035
6,64,2.842393,0.083532,1.913294,0.151833,0.824404
7,64,2.434384,0.063489,1.639784,0.121045,0.708007
7,64,2.416068,0.095690,1.650208,0.151177,0.657779
7,64,2.299316,0.071789,1.641343,0.126519,0.569505
7,64,2.418891,0.078738,1.651426,0.146613,0.667655
7,64,2.375484,0.062996,1.638902,0.110324,0.661561
8,64,2.216930,0.080288,1.391804,0.140553,0.731206
8,64,2.116942,0.098817,1.405778,0.145910,0.627496
8,64,2.026820,0.086053,1.389347,0.148130,0.532695
8,64,2.181768,0.071079,1.377342,0.114835,0.724386
8,64,2.040881,0.081433,1.387787,0.137155,0.560688
