# ordered evolution: size = 5000, steps = 50
# nprocs, nthreads, total, comm, grid, idle, write
1,1,16.618843,0.010371,16.548879,0.009279,0.022514
1,1,16.628630,0.010444,16.553251,0.009267,0.027844
1,1,16.600600,0.010391,16.526146,0.009247,0.027060
1,1,16.590483,0.010361,16.516004,0.009261,0.027049
1,1,16.578204,0.010449,16.507202,0.009242,0.023485
1,2,16.582443,0.005290,8.269702,8.269582,0.023647
1,2,16.588466,0.005265,8.270490,8.271020,0.027461
1,2,16.575451,0.005280,8.263707,8.269356,0.022945
1,2,16.589263,0.005281,8.268020,8.277193,0.024584
1,2,16.592040,0.005299,8.271206,8.275375,0.026007
1,3,16.537100,0.003584,5.506509,11.028392,0.024229
1,3,16.547487,0.003583,5.507926,11.037921,0.023776
1,3,16.554005,0.003632,5.510171,11.039768,0.024268
1,3,16.541522,0.003582,5.505831,11.032428,0.025519
1,3,16.543861,0.003567,5.507462,11.037751,0.024303
1,4,16.613244,0.002861,4.142349,12.437023,0.024893
1,4,16.625091,0.002798,4.144057,12.445540,0.025393
1,4,16.637733,0.002823,4.148985,12.460702,0.023912
1,4,16.615584,0.002817,4.141668,12.439817,0.025384
1,4,16.618460,0.002794,4.147031,12.445824,0.025473
1,5,16.643324,0.002351,3.320042,13.290035,0.024771
1,5,16.634939,0.002355,3.320398,13.283021,0.023051
1,5,16.634118,0.002370,3.318960,13.280690,0.026028
1,5,16.640457,0.002352,3.319059,13.289215,0.023740
1,5,16.636506,0.002353,3.320062,13.283995,0.023961
1,6,16.605016,0.002025,2.763458,13.812834,0.026248
1,6,16.603487,0.002022,2.762844,13.810723,0.025462
1,6,16.597820,0.002005,2.762305,13.803136,0.025823
1,6,16.605719,0.001975,2.763945,13.813803,0.024718
1,6,16.589349,0.002031,2.760438,13.800468,0.025275
1,7,16.621085,0.001814,2.375637,14.230149,0.024395
1,7,16.631066,0.001783,2.377041,14.233631,0.026649
1,7,16.622966,0.001849,2.373396,14.224857,0.026756
1,7,16.648288,0.001787,2.379189,14.250965,0.025117
1,7,16.630220,0.001817,2.379057,14.238879,0.025038
1,8,16.653807,0.001612,2.082368,14.547329,0.027839
