# ordered evolution: size = 10000, steps = 100
# nprocs, nthreads, total, comm, grid, idle, write
4,1,35.280327,0.338167,33.481899,0.000148,1.714092
4,1,35.259392,0.340703,33.502282,0.000148,1.678867
4,1,35.326576,0.342254,33.498424,0.000146,1.747459
4,1,35.486117,0.363146,33.508964,0.000157,1.897550
4,1,35.254131,0.360574,33.496876,0.000155,1.664653
4,2,18.883195,0.133711,16.761358,0.134154,2.048428
4,2,18.600229,0.175570,16.756471,0.175932,1.749372
4,2,18.621068,0.134595,16.762685,0.134963,1.809515
4,2,18.439638,0.141155,16.758397,0.141572,1.629170
4,2,19.309044,0.124137,16.752748,0.124536,2.499053
4,3,12.916041,0.083536,11.139514,0.119116,1.721980
4,3,12.994938,0.079669,11.134433,0.122687,1.813009
4,3,12.972733,0.082775,11.129968,0.118638,1.785073
4,3,13.333386,0.084914,11.138200,0.128954,2.135655
4,3,12.920730,0.088114,11.137989,0.139952,1.721479
4,4,10.211198,0.058419,8.320826,0.088882,1.831289
4,4,9.936770,0.073376,8.319629,0.093230,1.556474
4,4,10.025302,0.063704,8.317339,0.085395,1.653912
4,4,10.079873,0.074752,8.326021,0.097949,1.694605
4,4,9.928572,0.064489,8.321981,0.089552,1.552688
4,5,8.367991,0.051201,6.645967,0.070178,1.667934
4,5,8.490327,0.054575,6.648024,0.066581,1.789477
4,5,8.286695,0.056742,6.649229,0.072195,1.582788
4,5,8.422956,0.049222,6.652887,0.067190,1.723457
4,5,8.319068,0.050094,6.644219,0.063386,1.624135
4,6,7.412591,0.055979,5.560146,0.067554,1.816046
4,6,7.275139,0.058455,5.547441,0.073513,1.669852
4,6,7.368916,0.052709,5.551543,0.067722,1.770538
4,6,7.517678,0.056554,5.556034,0.067379,1.921345
4,6,7.417688,0.046406,5.547108,0.055092,1.834005
4,7,6.644778,0.052228,4.777167,0.059761,1.840949
4,7,6.573927,0.055590,4.774171,0.069303,1.761534
4,7,6.475713,0.047618,4.775974,0.060078,1.672528
4,7,6.685335,0.050821,4.771822,0.061193,1.881041
4,7,6.520831,0.054991,4.776951,0.068988,1.708317
4,8,6.057743,0.068971,4.205412,0.083060,1.826401
4,8,6.015444,0.063950,4.196253,0.074453,1.791592
4,8,6.022017,0.054680,4.189691,0.063014,1.810249
4,8,5.864061,0.073751,4.204754,0.078363,1.634941
4,8,5.974004,0.062206,4.193625,0.070219,1.754825
4,9,5.373894,0.044989,3.714712,0.052211,1.636902
4,9,5.439315,0.051305,3.715360,0.057083,1.696097
4,9,5.642676,0.049368,3.716321,0.061113,1.897264
4,9,6.054990,0.048577,3.717829,0.058165,2.312951
4,9,5.465691,0.051493,3.714033,0.061386,1.722417
4,10,5.166631,0.058760,3.360174,0.070533,1.781169
4,10,5.057202,0.045024,3.340399,0.051964,1.688392
4,10,5.026687,0.042935,3.347383,0.052746,1.657339
4,10,5.079336,0.060830,3.349007,0.071841,1.693692
4,10,5.187937,0.045781,3.338271,0.052739,1.819730
4,11,4.849014,0.043179,3.050946,0.056083,1.771323
4,11,4.944440,0.042239,3.046193,0.049253,1.870193
4,11,5.325889,0.051377,3.053814,0.061754,2.239929
4,11,4.866733,0.050184,3.056726,0.056938,1.785044
4,11,4.769023,0.063345,3.065562,0.069280,1.677533
4,12,4.664831,0.053809,2.803979,0.064522,1.829243
4,12,4.635827,0.065084,2.809473,0.071978,1.794965
4,12,4.787364,0.056593,2.808523,0.064778,1.949415
4,12,4.663752,0.057113,2.809767,0.063864,1.827438
4,12,5.006159,0.039098,2.800361,0.047575,2.188354
