# nprocs, nthreads, total, comm, grid, idle, write
4,1,4.153921,0.084644,3.329177,0.001599,0.768680
4,1,3.482333,0.070700,3.326071,0.001524,0.111519
4,1,3.965556,0.066130,3.326116,0.001683,0.597945
4,1,3.515930,0.066754,3.326624,0.001520,0.147826
4,1,3.701642,0.063966,3.326428,0.001641,0.336017
4,2,2.259830,0.034749,1.680342,0.037621,0.547677
4,2,2.560734,0.048754,1.682267,0.051399,0.834839
4,2,2.094387,0.043540,1.679251,0.046134,0.373888
4,2,2.379552,0.037533,1.674601,0.040065,0.663168
4,2,2.053713,0.043630,1.678186,0.046266,0.331564
4,3,2.190450,0.041642,1.142743,0.054748,1.015940
4,3,1.847719,0.047631,1.139411,0.059720,0.669227
4,3,1.914625,0.036552,1.130323,0.049451,0.744314
4,3,2.679988,0.044410,1.139259,0.056761,1.501801
4,3,1.943693,0.039481,1.136442,0.051089,0.773092
4,4,2.052253,0.041258,0.858464,0.049577,1.163312
4,4,2.178290,0.039499,0.858046,0.049339,1.287994
4,4,1.682645,0.043424,0.862163,0.053434,0.789229
4,4,2.000054,0.043139,0.865611,0.052200,1.108318
4,4,1.888845,0.040700,0.858760,0.050441,0.999026
4,5,1.898057,0.037618,0.692921,0.046555,1.182745
4,5,2.156412,0.043830,0.689867,0.053110,1.434546
4,5,1.843068,0.040312,0.688798,0.049216,1.124729
4,5,1.656249,0.040119,0.688433,0.048977,0.938208
4,5,2.236754,0.042069,0.688381,0.051336,1.516003
4,6,1.685745,0.049964,0.590048,0.058382,1.065094
4,6,2.176144,0.046524,0.587824,0.055621,1.557859
4,6,1.927816,0.039113,0.579283,0.049049,1.316032
4,6,1.662565,0.045312,0.588398,0.054783,1.044659
4,6,2.237119,0.037161,0.586432,0.047258,1.627018
4,7,1.951874,0.039597,0.503848,0.049421,1.418790
4,7,2.370420,0.043733,0.514609,0.052743,1.834411
4,7,2.127383,0.042865,0.507368,0.049518,1.596686
4,7,3.084659,0.043614,0.507946,0.052610,2.548528
4,7,1.943334,0.044799,0.512427,0.054802,1.407337
4,8,2.329782,0.039544,0.457631,0.049774,1.852435
4,8,2.250669,0.046083,0.456403,0.056314,1.763798
4,8,2.677454,0.044954,0.461279,0.054913,2.192604
4,8,2.428242,0.048189,0.457501,0.057816,1.941917
4,8,2.470736,0.039460,0.451311,0.047333,1.995166
4,9,2.935324,0.034174,0.395370,0.042160,2.516534
4,9,2.111613,0.046108,0.405055,0.054799,1.680100
4,9,2.814850,0.034072,0.394435,0.042325,2.396117
4,9,1.159317,0.049118,0.405349,0.058681,0.722716
4,9,1.017227,0.034740,0.394800,0.043385,0.597774
4,10,1.340738,0.042407,0.362223,0.051849,0.952200
4,10,0.921207,0.037429,0.358314,0.045825,0.538293
4,10,0.839952,0.044020,0.362727,0.055143,0.445945
4,10,0.908802,0.037733,0.359384,0.046276,0.525083
4,10,1.115814,0.044973,0.362988,0.055460,0.721328
4,11,1.368946,0.043011,0.338290,0.052034,1.006391
4,11,1.139865,0.027523,0.330899,0.037302,0.792594
4,11,0.939342,0.042132,0.337131,0.051110,0.577699
4,11,0.974092,0.039671,0.333942,0.049052,0.614147
4,11,1.064704,0.040260,0.335646,0.050102,0.704569
4,12,1.152529,0.040245,0.306580,0.050163,0.817618
4,12,1.193730,0.038628,0.308386,0.048367,0.860289
4,12,1.248024,0.035673,0.304792,0.045901,0.917575
4,12,1.014937,0.035462,0.305558,0.045419,0.684912
4,12,1.227582,0.041536,0.310370,0.052274,0.890113
4,13,1.545806,0.048557,0.294263,0.059478,1.215273
4,13,1.666746,0.078703,0.301211,0.088959,1.306464
4,13,1.167560,0.043770,0.297550,0.054202,0.842946
4,13,1.575360,0.041184,0.295905,0.051279,1.253593
4,13,1.409782,0.035419,0.297888,0.045559,1.094000
4,14,1.315041,0.038729,0.269262,0.050049,1.019161
4,14,1.679325,0.038819,0.276175,0.049735,1.383912
4,14,0.941363,0.031941,0.261345,0.042734,0.653329
4,14,1.231810,0.038993,0.268089,0.049779,0.937099
4,14,1.163716,0.036313,0.266458,0.047716,0.870602
4,15,1.113460,0.032164,0.249565,0.044037,0.837535
4,15,1.184182,0.034917,0.252006,0.046650,0.905571
4,15,1.008212,0.035452,0.259561,0.047096,0.729574
4,15,1.181603,0.036874,0.254460,0.049217,0.901126
4,15,1.418020,0.035029,0.259497,0.046780,1.140194
4,16,1.056655,0.034746,0.246914,0.047017,0.790727
4,16,1.322816,0.030976,0.242967,0.043084,1.061372
4,16,0.707303,0.036026,0.238934,0.048501,0.440134
4,16,0.904145,0.031471,0.235648,0.043420,0.642467
4,16,0.871233,0.039744,0.251765,0.052082,0.599977
4,17,0.967270,0.035314,0.227280,0.047639,0.713412
4,17,0.695793,0.033799,0.232114,0.045667,0.444259
4,17,0.718432,0.039000,0.230414,0.051336,0.461103
4,17,0.811924,0.033633,0.225012,0.047359,0.558461
4,17,0.787551,0.037958,0.229369,0.050707,0.530795
4,18,0.773497,0.037769,0.216250,0.049976,0.530220
4,18,1.077546,0.031938,0.209939,0.043929,0.840378
4,18,0.747994,0.030327,0.215568,0.042664,0.512405
4,18,0.670167,0.039131,0.214799,0.051522,0.425452
4,18,0.768404,0.035759,0.212582,0.047921,0.527144
4,19,0.855838,0.035044,0.210677,0.047271,0.616714
4,19,0.719463,0.033502,0.217868,0.045725,0.482028
4,19,0.849857,0.031268,0.214473,0.043679,0.614545
4,19,0.879211,0.033663,0.211248,0.045707,0.641541
4,19,1.342304,0.031573,0.214601,0.043650,1.107303
4,20,0.841603,0.044178,0.206831,0.056309,0.605780
4,20,0.855920,0.042389,0.210653,0.055038,0.622293
4,20,1.288595,0.032461,0.203259,0.045029,1.064482
4,20,0.715984,0.031066,0.195806,0.043096,0.493791
4,20,1.350395,0.038053,0.201759,0.050149,1.121156
4,21,0.813147,0.035663,0.186935,0.047844,0.598502
4,21,1.311663,0.032410,0.182484,0.044666,1.100002
4,21,1.020201,0.034991,0.186015,0.047244,0.806264
