# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,20.638935,96.904223
10000,10000,10000,11.396897,175.486359
10000,10000,10000,7.667288,260.848425
10000,10000,10000,5.684138,351.856366
10000,10000,10000,4.322970,462.644863
10000,10000,10000,3.887898,514.416808
10000,10000,10000,3.186065,627.733679
10000,10000,10000,2.776053,720.447443
10000,10000,10000,2.537942,788.040174
10000,10000,10000,2.408283,830.467219
10000,10000,10000,2.146193,931.882855
10000,10000,10000,1.855260,1078.016005
10000,10000,10000,1.860545,1074.954020
10000,10000,10000,1.633067,1224.689261
10000,10000,10000,1.539461,1299.156023
10000,10000,10000,1.455256,1374.328711
10000,10000,10000,1.466251,1364.023162
10000,10000,10000,1.359559,1471.065775
10000,10000,10000,1.361900,1468.536278
10000,10000,10000,1.321960,1512.905178
10000,10000,10000,1.243424,1608.462190
10000,10000,10000,1.158207,1726.806991
10000,10000,10000,1.152771,1734.950431
10000,10000,10000,1.234607,1619.948930
10000,10000,10000,1.261187,1585.808149
10000,10000,10000,1.085087,1843.169970
10000,10000,10000,1.459831,1370.021514
10000,10000,10000,1.350054,1481.422241
10000,10000,10000,1.341813,1490.520386
10000,10000,10000,1.223988,1634.002579
10000,10000,10000,1.217899,1642.172788
10000,10000,10000,1.400016,1428.554944
10000,10000,10000,1.173558,1704.219028
10000,10000,10000,1.076494,1857.882295
10000,10000,10000,1.280780,1561.549015
10000,10000,10000,1.341322,1491.066255
10000,10000,10000,1.355040,1475.970954
10000,10000,10000,1.048768,1906.999333
10000,10000,10000,1.147023,1743.644001
10000,10000,10000,1.416560,1411.871169
10000,10000,10000,1.410691,1417.745385
10000,10000,10000,1.332950,1500.431664
10000,10000,10000,1.336549,1496.390855
10000,10000,10000,1.527562,1309.275480
10000,10000,10000,1.605348,1245.835705
10000,10000,10000,0.979239,2042.401687
10000,10000,10000,0.983913,2032.699597
10000,10000,10000,1.235962,1618.172089
10000,10000,10000,1.267430,1577.996884
10000,10000,10000,1.431583,1397.055210
10000,10000,10000,1.136460,1759.850238
10000,10000,10000,1.554349,1286.712532
10000,10000,10000,1.544001,1295.336302
10000,10000,10000,1.205190,1659.489656
10000,10000,10000,1.167546,1712.993887
10000,10000,10000,1.277407,1565.671276
10000,10000,10000,1.109435,1802.718972
10000,10000,10000,0.955729,2092.642742
10000,10000,10000,0.955096,2094.030264
10000,10000,10000,1.218683,1641.116118
10000,10000,10000,1.206222,1658.070255
10000,10000,10000,0.965460,2071.551007
10000,10000,10000,1.700780,1175.931267
10000,10000,10000,1.320022,1515.126455
