# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,43.491310,45.986198
10000,10000,10000,43.449350,46.030608
10000,10000,10000,43.361739,46.123612
10000,10000,10000,43.677786,45.789867
10000,10000,10000,43.900277,45.557799

10000,10000,10000,23.817532,83.971757
10000,10000,10000,23.828016,83.934811
10000,10000,10000,23.864306,83.807171
10000,10000,10000,23.784189,84.089475
10000,10000,10000,23.812692,83.988824

10000,10000,10000,15.975528,125.191482
10000,10000,10000,15.742202,127.047033
10000,10000,10000,16.004702,124.963279
10000,10000,10000,15.876452,125.972731
10000,10000,10000,15.867950,126.040224

10000,10000,10000,12.282975,162.827006
10000,10000,10000,12.242030,163.371591
10000,10000,10000,12.177288,164.240180
10000,10000,10000,12.198053,163.960593
10000,10000,10000,12.203983,163.880924

10000,10000,10000,9.355187,213.785152
10000,10000,10000,9.357659,213.728664
10000,10000,10000,9.337664,214.186321
10000,10000,10000,9.341153,214.106326
10000,10000,10000,9.407749,212.590710

10000,10000,10000,7.961243,251.217058
10000,10000,10000,7.878288,253.862258
10000,10000,10000,7.865613,254.271341
10000,10000,10000,7.815187,255.911975
10000,10000,10000,7.921557,252.475626

10000,10000,10000,6.618220,302.196046
10000,10000,10000,6.598834,303.083843
10000,10000,10000,6.624721,301.899526
10000,10000,10000,6.610949,302.528449
10000,10000,10000,6.602816,302.901083

10000,10000,10000,6.086765,328.581752
10000,10000,10000,6.054879,330.312133
10000,10000,10000,6.163676,324.481685
10000,10000,10000,6.054035,330.358169
10000,10000,10000,6.111426,327.255840

10000,10000,10000,5.222687,382.944625
10000,10000,10000,5.204235,384.302402
10000,10000,10000,5.212706,383.677911
10000,10000,10000,5.206089,384.165512
10000,10000,10000,5.225382,382.747123

10000,10000,10000,4.955767,403.570240
10000,10000,10000,4.871628,410.540396
10000,10000,10000,4.871300,410.568003
10000,10000,10000,4.866027,411.012952
10000,10000,10000,4.893043,408.743616

10000,10000,10000,4.417092,452.786543
10000,10000,10000,4.391788,455.395397
10000,10000,10000,4.405650,453.962555
10000,10000,10000,4.419946,452.494175
10000,10000,10000,4.403573,454.176605

10000,10000,10000,4.272050,468.159367
10000,10000,10000,4.283517,466.906021
10000,10000,10000,4.287894,466.429459
10000,10000,10000,4.279234,467.373408
10000,10000,10000,4.297719,465.363169

10000,10000,10000,3.820262,523.524291
10000,10000,10000,3.823494,523.081726
10000,10000,10000,3.826654,522.649801
10000,10000,10000,3.835596,521.431371
