# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,42.512963,47.044474
10000,10000,10000,42.637190,46.907406
10000,10000,10000,42.740726,46.793777
10000,10000,10000,42.638310,46.906174
10000,10000,10000,42.590838,46.958456

10000,10000,10000,22.901569,87.330260
10000,10000,10000,22.768909,87.839078
10000,10000,10000,22.690502,88.142606
10000,10000,10000,22.726026,88.004826
10000,10000,10000,22.787166,87.768703

10000,10000,10000,15.254431,131.109445
10000,10000,10000,15.299451,130.723646
10000,10000,10000,15.277437,130.912012
10000,10000,10000,15.413013,129.760480
10000,10000,10000,15.260481,131.057471

10000,10000,10000,11.305990,176.897378
10000,10000,10000,11.273932,177.400395
10000,10000,10000,11.355412,176.127470
10000,10000,10000,11.350769,176.199514
10000,10000,10000,11.234546,178.022322

10000,10000,10000,8.898525,224.756357
10000,10000,10000,8.897273,224.787965
10000,10000,10000,8.878218,225.270439
10000,10000,10000,8.890963,224.947511
10000,10000,10000,8.874576,225.362887

10000,10000,10000,7.512632,266.218272
10000,10000,10000,7.505228,266.480912
10000,10000,10000,7.542410,265.167248
10000,10000,10000,7.495855,266.814139
10000,10000,10000,7.498317,266.726528

10000,10000,10000,6.413426,311.845785
10000,10000,10000,6.406484,312.183740
10000,10000,10000,6.459183,309.636705
10000,10000,10000,6.399219,312.538146
10000,10000,10000,6.440767,310.522044

10000,10000,10000,5.633338,355.029275
10000,10000,10000,5.620171,355.861073
10000,10000,10000,5.637088,354.793093
10000,10000,10000,5.631706,355.132172
10000,10000,10000,5.639494,354.641766

10000,10000,10000,5.110484,391.352398
10000,10000,10000,5.125851,390.179098
10000,10000,10000,5.124790,390.259876
10000,10000,10000,5.121497,390.510843
10000,10000,10000,5.136663,389.357844

10000,10000,10000,4.532147,441.291935
10000,10000,10000,4.523044,442.180124
10000,10000,10000,4.493550,445.082414
10000,10000,10000,4.516082,442.861731
10000,10000,10000,4.531068,441.397057

10000,10000,10000,4.231003,472.701181
10000,10000,10000,4.240308,471.663804
10000,10000,10000,4.237395,471.988146
10000,10000,10000,4.242318,471.440323
10000,10000,10000,4.235833,472.162105

10000,10000,10000,3.816317,524.065494
10000,10000,10000,3.837970,521.108832
10000,10000,10000,3.813455,524.458846
10000,10000,10000,3.828370,522.415549
10000,10000,10000,3.838184,521.079789

10000,10000,10000,3.548910,563.553270
10000,10000,10000,3.574450,559.526571
10000,10000,10000,3.591096,556.933030
10000,10000,10000,3.572788,559.786928
10000,10000,10000,3.572685,559.803095

10000,10000,10000,3.435586,582.142359
10000,10000,10000,3.441138,581.203131
10000,10000,10000,3.447886,580.065555
10000,10000,10000,3.432632,582.643278
10000,10000,10000,3.425397,583.874011

10000,10000,10000,3.283822,609.046493
10000,10000,10000,3.282219,609.343803
10000,10000,10000,3.291119,607.696102
10000,10000,10000,3.284340,608.950338
10000,10000,10000,3.292101,607.514839

10000,10000,10000,3.007102,665.092151
10000,10000,10000,2.995355,667.700424
10000,10000,10000,2.989372,669.036760
10000,10000,10000,2.981637,670.772423
10000,10000,10000,2.974251,672.438225

