# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,42.085686,47.522095
10000,10000,10000,42.091588,47.515433
10000,10000,10000,42.461906,47.101042
10000,10000,10000,42.334420,47.242882
10000,10000,10000,42.158966,47.439493

10000,10000,10000,22.664468,88.243855
10000,10000,10000,22.708294,88.073547
10000,10000,10000,22.679066,88.187054
10000,10000,10000,22.743408,87.937570
10000,10000,10000,22.724854,88.009368

10000,10000,10000,15.772599,126.802183
10000,10000,10000,15.738306,127.078482
10000,10000,10000,15.794787,126.624054
10000,10000,10000,15.844720,126.225013
10000,10000,10000,15.926283,125.578581

10000,10000,10000,11.695240,171.009751
10000,10000,10000,11.773258,169.876507
10000,10000,10000,11.683419,171.182764
10000,10000,10000,12.030569,166.243175
10000,10000,10000,11.704985,170.867363

10000,10000,10000,8.809412,227.029908
10000,10000,10000,8.778447,227.830737
10000,10000,10000,8.803047,227.194066
10000,10000,10000,8.806183,227.113149
10000,10000,10000,8.768879,228.079319

10000,10000,10000,7.877417,253.890320
10000,10000,10000,7.941219,251.850494
10000,10000,10000,7.856653,254.561333
10000,10000,10000,7.824366,255.611764
10000,10000,10000,7.850228,254.769671

10000,10000,10000,6.333901,315.761181
10000,10000,10000,6.321762,316.367478
10000,10000,10000,6.338026,315.555640
10000,10000,10000,6.307060,317.104967
10000,10000,10000,6.320644,316.423470

10000,10000,10000,5.669026,352.794278
10000,10000,10000,5.638172,354.724896
10000,10000,10000,5.645875,354.240937
10000,10000,10000,5.641172,354.536228
10000,10000,10000,5.675082,352.417787

10000,10000,10000,5.092890,392.704373
10000,10000,10000,5.099120,392.224534
10000,10000,10000,5.095347,392.514993
10000,10000,10000,5.094201,392.603267
10000,10000,10000,5.097439,392.353886

10000,10000,10000,4.728281,422.986666
10000,10000,10000,4.749192,421.124226
10000,10000,10000,4.773760,418.956977
10000,10000,10000,4.906380,407.632516
10000,10000,10000,4.738043,422.115248

10000,10000,10000,4.259366,469.553459
10000,10000,10000,4.261937,469.270181
10000,10000,10000,4.265900,468.834189
10000,10000,10000,4.255683,469.959823
10000,10000,10000,4.391146,455.461954

10000,10000,10000,3.900109,512.806188
10000,10000,10000,3.879559,515.522456
10000,10000,10000,4.051952,493.589222
10000,10000,10000,3.883482,515.001771
10000,10000,10000,3.901123,512.672843

10000,10000,10000,3.886685,514.577350
10000,10000,10000,3.885011,514.799097
10000,10000,10000,3.896112,513.332220
10000,10000,10000,3.883877,514.949320
10000,10000,10000,3.887624,514.452985

10000,10000,10000,3.386626,590.558235
10000,10000,10000,3.403674,587.600311
10000,10000,10000,3.402321,587.833969
10000,10000,10000,3.400482,588.151902
10000,10000,10000,3.383512,591.101843

10000,10000,10000,3.166786,631.555205
10000,10000,10000,3.177861,629.354151
10000,10000,10000,3.170808,630.754063
10000,10000,10000,3.168352,631.242919
10000,10000,10000,3.166333,631.645495

10000,10000,10000,2.951014,677.733128
10000,10000,10000,2.931290,682.293505
10000,10000,10000,2.934143,681.629925
10000,10000,10000,2.931793,682.176313
10000,10000,10000,2.937446,680.863583

10000,10000,10000,2.926360,683.442899
10000,10000,10000,2.938827,680.543655
10000,10000,10000,2.930322,682.518846
10000,10000,10000,2.947900,678.448970
10000,10000,10000,2.931100,682.337674

10000,10000,10000,2.758844,724.941403
10000,10000,10000,2.762305,724.033136
10000,10000,10000,2.766736,722.873402
10000,10000,10000,2.755235,725.890790
10000,10000,10000,2.755946,725.703651

10000,10000,10000,2.758305,725.083007
10000,10000,10000,2.750330,727.185457
10000,10000,10000,2.748864,727.573292
10000,10000,10000,2.762009,724.110653
10000,10000,10000,2.753823,726.262959

10000,10000,10000,2.569968,778.219737
10000,10000,10000,2.578486,775.648937
10000,10000,10000,2.605671,767.556619
10000,10000,10000,2.605563,767.588384
10000,10000,10000,2.608841,766.623890

10000,10000,10000,2.801267,713.962729
10000,10000,10000,2.784391,718.289955
10000,10000,10000,2.785509,718.001637
10000,10000,10000,2.782158,718.866377
10000,10000,10000,2.786849,717.656305

10000,10000,10000,2.463207,811.949782
10000,10000,10000,2.466837,810.754788
10000,10000,10000,2.459072,813.314790
10000,10000,10000,2.453227,815.252870
10000,10000,10000,2.443524,818.489974

10000,10000,10000,2.450117,816.287449
10000,10000,10000,2.488787,803.604443
10000,10000,10000,2.476622,807.551474
10000,10000,10000,2.478228,807.028271
10000,10000,10000,2.449585,816.464932

10000,10000,10000,2.427531,823.882272
10000,10000,10000,2.433293,821.931517
10000,10000,10000,2.440004,819.670668
10000,10000,10000,2.432423,822.225333
10000,10000,10000,2.446996,817.328691

10000,10000,10000,2.475847,807.804481
10000,10000,10000,2.471790,809.130219
10000,10000,10000,2.468369,810.251589
10000,10000,10000,2.464177,811.630064
10000,10000,10000,2.475865,807.798417

10000,10000,10000,2.597963,769.833939
10000,10000,10000,2.595814,770.471370
10000,10000,10000,2.606820,767.218277
10000,10000,10000,2.588084,772.772589
10000,10000,10000,2.588172,772.746046

10000,10000,10000,2.666724,749.983833
10000,10000,10000,2.662274,751.237525
10000,10000,10000,2.665972,750.195305
10000,10000,10000,2.661238,751.529808
10000,10000,10000,2.672404,748.389887

10000,10000,10000,2.537331,788.229733
10000,10000,10000,2.552228,783.628951
10000,10000,10000,2.537959,788.034910
10000,10000,10000,2.549861,784.356555
10000,10000,10000,2.529100,790.794999

10000,10000,10000,2.537260,788.251881
10000,10000,10000,2.538182,787.965421
10000,10000,10000,2.550526,784.151909
10000,10000,10000,2.532853,789.623492
10000,10000,10000,2.543716,786.251352

10000,10000,10000,2.386830,837.931417
10000,10000,10000,2.414966,828.168998
10000,10000,10000,2.394708,835.175014
10000,10000,10000,2.415235,828.076869
10000,10000,10000,2.404126,831.903028

10000,10000,10000,2.395236,834.990868
10000,10000,10000,2.388550,837.328102
10000,10000,10000,2.388382,837.386985
10000,10000,10000,2.390539,836.631321
10000,10000,10000,2.410252,829.788739

10000,10000,10000,2.530365,790.399684
10000,10000,10000,2.540400,787.277680
10000,10000,10000,2.553395,783.270854
10000,10000,10000,2.534839,789.004880
10000,10000,10000,2.537435,788.197665

10000,10000,10000,2.263734,883.496010
10000,10000,10000,2.261018,884.557244
10000,10000,10000,2.265618,882.761370
10000,10000,10000,2.259861,885.010238
10000,10000,10000,2.260031,884.943805

10000,10000,10000,2.310334,865.675546
10000,10000,10000,2.301110,869.145746
10000,10000,10000,2.297771,870.408791
10000,10000,10000,2.306046,867.285424
10000,10000,10000,2.305497,867.492029

10000,10000,10000,2.404455,831.789181
10000,10000,10000,2.396050,834.707004
10000,10000,10000,2.405780,831.331146
10000,10000,10000,2.390985,836.475288
10000,10000,10000,2.401534,832.801011

10000,10000,10000,2.502779,799.111548
10000,10000,10000,2.494425,801.787834
10000,10000,10000,2.488565,803.676169
10000,10000,10000,2.488275,803.769596
10000,10000,10000,2.482650,805.590744

10000,10000,10000,2.490990,802.893551
10000,10000,10000,2.500059,799.981207
10000,10000,10000,2.496581,801.095594
10000,10000,10000,2.487305,804.083292
10000,10000,10000,2.501286,799.588793

10000,10000,10000,2.320057,862.047728
10000,10000,10000,2.323469,860.781815
10000,10000,10000,2.346889,852.192001
10000,10000,10000,2.347639,851.919895
10000,10000,10000,2.335499,856.348173

10000,10000,10000,2.334475,856.723681
10000,10000,10000,2.338853,855.119840
10000,10000,10000,2.342084,853.940194
10000,10000,10000,2.335878,856.208987
10000,10000,10000,2.339393,854.922520

10000,10000,10000,2.517087,794.569223
10000,10000,10000,2.511794,796.243796
10000,10000,10000,2.538888,787.746561
10000,10000,10000,2.537224,788.263143
10000,10000,10000,2.525242,792.003294

10000,10000,10000,2.532660,789.683442
10000,10000,10000,2.514306,795.448178
10000,10000,10000,2.527750,791.217579
10000,10000,10000,2.539628,787.516872
10000,10000,10000,2.527025,791.444490

10000,10000,10000,2.458430,813.527334
10000,10000,10000,2.453407,815.192835
10000,10000,10000,2.459874,813.049650
10000,10000,10000,2.459172,813.281826
10000,10000,10000,2.454052,814.978529

10000,10000,10000,2.477472,807.274633
10000,10000,10000,2.465576,811.169534
10000,10000,10000,2.463985,811.693277
10000,10000,10000,2.462127,812.305852
10000,10000,10000,2.457146,813.952333

10000,10000,10000,2.702606,740.026384
10000,10000,10000,2.713661,737.011854
10000,10000,10000,2.712117,737.431248
