# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,41.913815,47.716964
10000,10000,10000,42.112367,47.491987
10000,10000,10000,41.726834,47.930787
10000,10000,10000,41.894767,47.738659
10000,10000,10000,41.721147,47.937320

10000,10000,10000,22.467054,89.019236
10000,10000,10000,22.421058,89.201855
10000,10000,10000,22.445051,89.106502
10000,10000,10000,22.548014,88.699606
10000,10000,10000,22.522702,88.799291

10000,10000,10000,14.938632,133.881070
10000,10000,10000,15.118825,132.285416
10000,10000,10000,15.055873,132.838527
10000,10000,10000,14.907399,134.161564
10000,10000,10000,15.077254,132.650146

10000,10000,10000,11.517178,173.653647
10000,10000,10000,11.567136,172.903649
10000,10000,10000,11.763238,170.021217
10000,10000,10000,11.401420,175.416744
10000,10000,10000,11.602410,172.377986

10000,10000,10000,8.955405,223.328822
10000,10000,10000,8.972061,222.914226
10000,10000,10000,8.976514,222.803632
10000,10000,10000,8.959185,223.234586
10000,10000,10000,8.950558,223.449767

10000,10000,10000,7.926892,252.305680
10000,10000,10000,7.942648,251.805183
10000,10000,10000,8.063997,248.015962
10000,10000,10000,7.946457,251.684486
10000,10000,10000,8.027502,249.143516

10000,10000,10000,6.353365,314.793792
10000,10000,10000,6.352259,314.848626
10000,10000,10000,6.361490,314.391759
10000,10000,10000,6.431390,310.974775
10000,10000,10000,7.308616,273.649616

10000,10000,10000,5.727345,349.201960
10000,10000,10000,5.727151,349.213758
10000,10000,10000,5.669080,352.790959
10000,10000,10000,5.738411,348.528536
10000,10000,10000,5.699857,350.885995

10000,10000,10000,5.248701,381.046689
10000,10000,10000,5.143667,388.827687
10000,10000,10000,5.150470,388.314099
10000,10000,10000,5.130810,389.801994
10000,10000,10000,5.135703,389.430607

10000,10000,10000,4.837835,413.408049
10000,10000,10000,4.649554,430.148805
10000,10000,10000,4.647677,430.322535
10000,10000,10000,4.687569,426.660371
10000,10000,10000,4.673857,427.912133

10000,10000,10000,4.116820,485.811851
10000,10000,10000,4.147750,482.189109
10000,10000,10000,4.155515,481.288148
10000,10000,10000,4.114649,486.068159
10000,10000,10000,4.123702,485.001097

10000,10000,10000,3.878686,515.638578
10000,10000,10000,3.836254,521.341859
10000,10000,10000,3.830457,522.130940
10000,10000,10000,3.831670,521.965651
10000,10000,10000,3.833481,521.718982

10000,10000,10000,3.867526,517.126476
10000,10000,10000,3.877900,515.743015
10000,10000,10000,3.858621,518.319887
10000,10000,10000,3.893231,513.712085
10000,10000,10000,3.898532,513.013666

10000,10000,10000,3.337568,599.238752
10000,10000,10000,3.285518,608.732019
10000,10000,10000,3.286071,608.629579
10000,10000,10000,3.298771,606.286357
10000,10000,10000,3.291162,607.688178

10000,10000,10000,3.134151,638.131248
10000,10000,10000,3.125400,639.918122
10000,10000,10000,3.152283,634.460859
10000,10000,10000,3.158452,633.221491
10000,10000,10000,3.162438,632.423453

10000,10000,10000,2.856739,700.098905
10000,10000,10000,2.855861,700.314259
10000,10000,10000,2.853756,700.830657
10000,10000,10000,2.854606,700.621974
10000,10000,10000,2.855888,700.307687

10000,10000,10000,2.856199,700.231364
10000,10000,10000,2.848600,702.099248
10000,10000,10000,2.862192,698.765194
10000,10000,10000,2.858864,699.578690
10000,10000,10000,2.864222,698.269918

10000,10000,10000,2.543448,786.334208
10000,10000,10000,2.538354,787.912100
10000,10000,10000,2.532159,789.839763
10000,10000,10000,2.537542,788.164326
10000,10000,10000,2.534890,788.988957

10000,10000,10000,2.655937,753.029771
10000,10000,10000,2.663619,750.858120
10000,10000,10000,2.647936,755.305133
10000,10000,10000,2.674263,747.869505
10000,10000,10000,2.669773,749.127228

10000,10000,10000,2.259453,885.169849
10000,10000,10000,2.255727,886.631953
10000,10000,10000,2.258450,885.563247
10000,10000,10000,2.255294,886.802469
10000,10000,10000,2.258980,885.355181

10000,10000,10000,2.271448,880.495521
10000,10000,10000,2.231011,896.454672
10000,10000,10000,2.222495,899.889574
10000,10000,10000,2.226416,898.304891
10000,10000,10000,2.216277,902.414358

10000,10000,10000,2.104361,950.407463
10000,10000,10000,2.093416,955.376062
10000,10000,10000,2.103779,950.670262
10000,10000,10000,2.096000,954.198573
10000,10000,10000,2.100044,952.360932

10000,10000,10000,2.073939,964.348413
10000,10000,10000,2.073101,964.738293
10000,10000,10000,2.075010,963.850711
10000,10000,10000,2.076928,962.960857
10000,10000,10000,2.085886,958.825293

10000,10000,10000,1.925789,1038.535525
10000,10000,10000,1.911779,1046.145933
10000,10000,10000,1.922202,1040.473523
10000,10000,10000,1.959666,1020.582045
10000,10000,10000,1.939061,1031.426849

10000,10000,10000,1.905979,1049.329431
10000,10000,10000,1.858795,1075.965668
10000,10000,10000,1.868162,1070.571002
10000,10000,10000,1.920776,1041.245564
10000,10000,10000,1.883695,1061.742859

10000,10000,10000,1.834354,1090.301896
10000,10000,10000,1.835296,1089.742382
10000,10000,10000,1.901398,1051.857826
10000,10000,10000,1.839445,1087.284544
10000,10000,10000,1.845383,1083.785927

10000,10000,10000,1.749774,1143.004630
10000,10000,10000,1.715533,1165.818282
10000,10000,10000,1.718698,1163.671651
10000,10000,10000,1.726636,1158.321903
10000,10000,10000,1.726055,1158.711509

10000,10000,10000,1.659902,1204.890339
10000,10000,10000,1.663865,1202.020577
10000,10000,10000,1.667811,1199.176294
10000,10000,10000,1.687173,1185.415208
10000,10000,10000,1.666228,1200.315968

10000,10000,10000,1.654443,1208.866396
10000,10000,10000,1.654080,1209.131698
10000,10000,10000,1.646235,1214.893340
10000,10000,10000,1.641356,1218.504693
10000,10000,10000,1.735741,1152.245936

10000,10000,10000,1.582278,1264.000177
10000,10000,10000,1.567662,1275.784910
10000,10000,10000,1.568586,1275.033728
10000,10000,10000,1.572815,1271.605179
10000,10000,10000,1.575441,1269.486210

10000,10000,10000,1.622109,1232.963094
10000,10000,10000,1.579775,1266.003370
10000,10000,10000,1.601159,1249.094904
10000,10000,10000,1.595849,1253.251187
10000,10000,10000,1.578355,1267.141720

10000,10000,10000,1.529201,1307.872927
10000,10000,10000,1.512381,1322.418359
10000,10000,10000,1.517808,1317.689764
10000,10000,10000,1.505996,1328.024694
10000,10000,10000,1.481221,1350.237199

10000,10000,10000,1.496768,1336.212195
10000,10000,10000,1.501595,1331.916619
10000,10000,10000,1.486004,1345.891160
10000,10000,10000,1.533159,1304.496379
10000,10000,10000,1.567093,1276.248830

10000,10000,10000,1.820986,1098.306283
10000,10000,10000,1.579491,1266.230713
10000,10000,10000,1.784042,1121.049732
10000,10000,10000,1.558257,1283.484961
10000,10000,10000,1.610337,1241.976075

10000,10000,10000,1.381869,1447.314983
10000,10000,10000,1.392676,1436.083713
10000,10000,10000,1.434706,1394.014195
10000,10000,10000,1.396126,1432.535867
10000,10000,10000,1.411535,1416.896862

10000,10000,10000,1.374103,1455.494875
10000,10000,10000,1.371619,1458.131242
10000,10000,10000,1.378470,1450.884429
10000,10000,10000,1.358756,1471.934515
10000,10000,10000,1.354603,1476.447056

10000,10000,10000,1.402239,1426.289877
10000,10000,10000,1.355396,1475.583073
10000,10000,10000,1.358380,1472.341663
10000,10000,10000,1.367429,1462.598441
10000,10000,10000,1.412119,1416.310999

10000,10000,10000,1.625067,1230.718516
10000,10000,10000,1.604932,1246.158838
10000,10000,10000,1.616155,1237.505156
10000,10000,10000,1.618362,1235.817158
10000,10000,10000,1.623587,1231.840434

10000,10000,10000,1.362700,1467.674772
10000,10000,10000,1.362952,1467.403311
10000,10000,10000,1.361539,1468.926283
10000,10000,10000,1.369452,1460.437710
10000,10000,10000,1.364156,1466.107659

10000,10000,10000,1.246327,1604.715612
10000,10000,10000,1.272530,1571.672417
10000,10000,10000,1.260693,1586.428686
10000,10000,10000,1.251813,1597.682860
10000,10000,10000,1.256089,1592.244210

10000,10000,10000,1.305876,1531.538856
10000,10000,10000,1.315949,1519.816129
10000,10000,10000,1.237916,1615.618212
10000,10000,10000,1.244926,1606.521206
10000,10000,10000,1.301341,1536.876584

10000,10000,10000,1.240998,1611.605847
10000,10000,10000,1.263275,1583.186061
10000,10000,10000,1.274584,1569.138990
10000,10000,10000,1.198519,1668.725649
10000,10000,10000,1.261823,1585.008299

10000,10000,10000,1.313557,1522.582933
10000,10000,10000,1.274892,1568.760927
10000,10000,10000,1.302857,1535.088444
10000,10000,10000,1.260791,1586.305740
10000,10000,10000,1.259046,1588.504745

10000,10000,10000,1.228625,1627.836242
10000,10000,10000,1.239178,1613.973760
10000,10000,10000,1.240626,1612.089570
10000,10000,10000,1.262679,1583.933263
10000,10000,10000,1.240672,1612.028983

10000,10000,10000,1.272431,1571.794260
10000,10000,10000,1.278562,1564.256736
10000,10000,10000,1.242977,1609.040023
10000,10000,10000,1.256207,1592.094873
10000,10000,10000,1.286027,1555.177855

10000,10000,10000,1.372124,1457.594161
10000,10000,10000,1.366717,1463.360893
10000,10000,10000,1.358450,1472.266445
10000,10000,10000,1.371087,1458.696709
10000,10000,10000,1.440266,1388.632704

10000,10000,10000,1.421640,1406.825957
10000,10000,10000,1.394690,1434.010146
10000,10000,10000,1.388464,1440.441060
10000,10000,10000,1.325337,1509.049590
10000,10000,10000,1.353531,1477.617086

10000,10000,10000,1.232397,1622.853999
10000,10000,10000,1.232183,1623.136034
10000,10000,10000,1.137501,1758.240138
10000,10000,10000,1.332817,1500.580653
10000,10000,10000,1.225014,1632.634572

10000,10000,10000,1.159992,1724.149431
10000,10000,10000,1.138484,1756.721679
10000,10000,10000,1.135195,1761.812197
10000,10000,10000,1.116635,1791.095248
10000,10000,10000,1.200370,1666.152500

10000,10000,10000,1.141930,1751.420379
10000,10000,10000,1.251553,1598.014198
10000,10000,10000,1.122496,1781.743402
10000,10000,10000,1.149988,1739.148291
10000,10000,10000,1.135970,1760.609726

10000,10000,10000,1.267404,1578.029285
10000,10000,10000,1.274024,1569.829286
10000,10000,10000,1.260506,1586.664652
10000,10000,10000,1.256059,1592.281668
10000,10000,10000,1.282610,1559.320452

10000,10000,10000,1.110131,1801.589003
10000,10000,10000,1.116140,1791.890012
10000,10000,10000,1.118983,1787.337694
10000,10000,10000,1.118713,1787.768579
10000,10000,10000,1.110309,1801.300514

10000,10000,10000,1.147424,1743.034230
10000,10000,10000,1.125590,1776.845750
10000,10000,10000,1.156609,1729.192263
10000,10000,10000,1.148462,1741.458852
10000,10000,10000,1.121046,1784.047808

10000,10000,10000,1.135335,1761.594945
10000,10000,10000,1.115767,1792.489377
10000,10000,10000,1.120418,1785.047787
10000,10000,10000,1.092861,1830.058736
10000,10000,10000,1.094476,1827.358963

10000,10000,10000,1.220712,1638.387576
10000,10000,10000,1.148569,1741.297290
10000,10000,10000,1.151428,1736.973917
10000,10000,10000,1.223802,1634.251916
10000,10000,10000,1.112857,1797.175635

10000,10000,10000,1.147720,1742.585514
10000,10000,10000,1.162920,1719.809123
10000,10000,10000,1.098365,1820.888170
10000,10000,10000,1.130598,1768.974984
10000,10000,10000,1.108975,1803.466653

10000,10000,10000,1.236708,1617.196606
10000,10000,10000,1.207732,1655.996588
10000,10000,10000,1.190081,1680.557731
10000,10000,10000,1.195799,1672.522470
10000,10000,10000,1.200098,1666.530633

10000,10000,10000,1.312144,1524.222904
10000,10000,10000,1.311860,1524.552708
10000,10000,10000,1.294192,1545.366298
10000,10000,10000,1.305817,1531.608065
10000,10000,10000,1.299261,1539.336555

10000,10000,10000,1.327918,1506.116810
10000,10000,10000,1.321052,1513.945315
10000,10000,10000,1.299469,1539.090590
10000,10000,10000,1.315474,1520.364907
10000,10000,10000,1.316803,1518.830483

10000,10000,10000,1.212091,1650.040882
10000,10000,10000,1.151192,1737.329650
10000,10000,10000,1.176576,1699.847007
10000,10000,10000,1.233340,1621.613377
10000,10000,10000,1.249992,1600.010387

10000,10000,10000,1.225065,1632.565877
10000,10000,10000,1.166028,1715.224423
10000,10000,10000,1.130625,1768.933444
10000,10000,10000,1.154406,1732.492840
10000,10000,10000,1.153792,1733.414308

10000,10000,10000,1.370741,1459.065158
10000,10000,10000,1.336800,1496.110076
10000,10000,10000,1.309987,1526.732809
10000,10000,10000,1.302352,1535.683546
10000,10000,10000,1.325315,1509.075721

10000,10000,10000,1.435657,1393.090327
10000,10000,10000,1.490775,1341.583768
10000,10000,10000,1.438500,1390.337374
10000,10000,10000,1.447288,1381.895101
10000,10000,10000,1.445448,1383.653812

10000,10000,10000,1.371878,1457.855664
10000,10000,10000,1.275153,1568.438625
10000,10000,10000,1.244522,1607.043220
10000,10000,10000,1.336579,1496.356945
10000,10000,10000,1.161166,1722.406107

