# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,43.484391,45.993516
10000,10000,10000,43.325704,46.161973
10000,10000,10000,43.315402,46.172953
10000,10000,10000,43.056623,46.450461
10000,10000,10000,43.361353,46.124022

10000,10000,10000,24.241837,82.501999
10000,10000,10000,24.326562,82.214659
10000,10000,10000,24.344375,82.154503
10000,10000,10000,24.397551,81.975442
10000,10000,10000,24.385109,82.017268

10000,10000,10000,15.744262,127.030405
10000,10000,10000,15.812550,126.481814
10000,10000,10000,15.704250,127.354059
10000,10000,10000,15.750390,126.980980
10000,10000,10000,15.789851,126.663643

10000,10000,10000,12.564434,159.179476
10000,10000,10000,12.455145,160.576212
10000,10000,10000,12.478309,160.278127
10000,10000,10000,12.608369,158.624803
10000,10000,10000,12.498710,160.016516

10000,10000,10000,9.561543,209.171271
10000,10000,10000,9.551183,209.398147
10000,10000,10000,9.533649,209.783253
10000,10000,10000,9.568377,209.021869
10000,10000,10000,9.583058,208.701653

10000,10000,10000,8.121794,246.251010
10000,10000,10000,8.073838,247.713663
10000,10000,10000,8.080480,247.510044
10000,10000,10000,8.118040,246.364873
10000,10000,10000,8.090147,247.214290

10000,10000,10000,6.809021,293.727982
10000,10000,10000,6.825988,292.997875
10000,10000,10000,6.772092,295.329735
10000,10000,10000,6.729103,297.216419
10000,10000,10000,6.818594,293.315594

10000,10000,10000,6.085890,328.628984
10000,10000,10000,6.052124,330.462469
10000,10000,10000,6.063907,329.820382
10000,10000,10000,6.102753,327.720967
10000,10000,10000,6.083472,328.759605

10000,10000,10000,5.355172,373.470736
10000,10000,10000,5.276454,379.042422
10000,10000,10000,5.331044,375.161052
10000,10000,10000,5.271933,379.367482
10000,10000,10000,5.282809,378.586440

10000,10000,10000,4.893412,408.712810
10000,10000,10000,4.890447,408.960577
10000,10000,10000,4.879275,409.896973
10000,10000,10000,4.912239,407.146309
10000,10000,10000,4.910448,407.294825

10000,10000,10000,4.402621,454.274805
10000,10000,10000,4.416128,452.885468
10000,10000,10000,4.406444,453.880686
10000,10000,10000,4.432621,451.200325
10000,10000,10000,4.422818,452.200398

10000,10000,10000,4.273775,467.970402
10000,10000,10000,4.321506,462.801594
10000,10000,10000,4.269368,468.453369
10000,10000,10000,4.298527,465.275697
10000,10000,10000,4.316547,463.333275

10000,10000,10000,3.825787,522.768303
10000,10000,10000,3.817018,523.969266
10000,10000,10000,3.848851,519.635620
10000,10000,10000,3.818572,523.756034
10000,10000,10000,3.839408,520.913685

10000,10000,10000,3.591520,556.867290
10000,10000,10000,3.582823,558.219009
10000,10000,10000,3.635267,550.165946
10000,10000,10000,3.608264,554.283244
10000,10000,10000,3.632983,550.511758

10000,10000,10000,3.447351,580.155545
10000,10000,10000,3.453801,579.072101
10000,10000,10000,3.442808,580.921224
10000,10000,10000,3.448371,579.983968
10000,10000,10000,3.435336,582.184607

10000,10000,10000,3.521897,567.875768
10000,10000,10000,3.512892,569.331546
10000,10000,10000,3.523442,567.626820
10000,10000,10000,3.519942,568.191149
10000,10000,10000,3.508007,570.124355

10000,10000,10000,3.452007,579.373139
10000,10000,10000,3.424197,584.078561
10000,10000,10000,3.405559,587.275143
10000,10000,10000,3.408939,586.692792
10000,10000,10000,3.412774,586.033604

10000,10000,10000,3.335545,599.602089
10000,10000,10000,3.353138,596.456218
10000,10000,10000,3.313283,603.630845
10000,10000,10000,3.336803,599.376176
10000,10000,10000,3.347810,597.405390

10000,10000,10000,3.251072,615.181673
10000,10000,10000,3.265032,612.551338
10000,10000,10000,3.258797,613.723321
10000,10000,10000,3.310365,604.162982
10000,10000,10000,3.095903,646.015043

10000,10000,10000,3.531762,566.289627
10000,10000,10000,3.527387,566.991935
10000,10000,10000,3.533523,566.007369
10000,10000,10000,3.545031,564.169890
10000,10000,10000,3.539225,565.095419

10000,10000,10000,3.411618,586.232156
10000,10000,10000,3.431754,582.792441
10000,10000,10000,3.430323,583.035497
10000,10000,10000,3.450972,579.546882
10000,10000,10000,3.422318,584.399300

10000,10000,10000,3.442501,580.972882
10000,10000,10000,3.444024,580.716089
10000,10000,10000,3.479167,574.850239
10000,10000,10000,3.432248,582.708428
10000,10000,10000,3.427198,583.567130

10000,10000,10000,3.457550,578.444204
10000,10000,10000,3.436040,582.065479
10000,10000,10000,3.456459,578.626916
10000,10000,10000,3.485102,573.871352
10000,10000,10000,3.470216,576.332937

10000,10000,10000,3.480572,574.618155
10000,10000,10000,3.520219,568.146513
10000,10000,10000,3.475710,575.422031
10000,10000,10000,3.457807,578.401285
10000,10000,10000,3.497344,571.862596

10000,10000,10000,3.526706,567.101373
10000,10000,10000,3.529173,566.704989
10000,10000,10000,3.519305,568.294104
10000,10000,10000,3.525783,567.249931
10000,10000,10000,3.533346,566.035720

10000,10000,10000,3.491580,572.806643
10000,10000,10000,3.458859,578.225292
10000,10000,10000,3.469454,576.459606
10000,10000,10000,3.444032,580.714751
10000,10000,10000,3.510358,569.742525

10000,10000,10000,3.578344,558.917741
10000,10000,10000,3.603213,555.060165
10000,10000,10000,3.594096,556.468207
10000,10000,10000,3.594903,556.343302
10000,10000,10000,3.611063,553.853564

10000,10000,10000,3.576486,559.208180
10000,10000,10000,3.536819,565.479874
10000,10000,10000,3.540528,564.887439
10000,10000,10000,3.556904,562.286679
10000,10000,10000,3.540993,564.813384

10000,10000,10000,3.622996,552.029263
10000,10000,10000,3.613255,553.517590
10000,10000,10000,3.672188,544.634464
10000,10000,10000,3.648947,548.103264
10000,10000,10000,3.683929,542.898654

10000,10000,10000,3.572259,559.869815
10000,10000,10000,3.499559,571.500656
10000,10000,10000,3.446633,580.276449
10000,10000,10000,3.434160,582.384046
10000,10000,10000,3.494768,572.284075

10000,10000,10000,3.695193,541.243724
10000,10000,10000,3.612738,553.596698
10000,10000,10000,3.683381,542.979367
10000,10000,10000,3.703775,539.989617
10000,10000,10000,3.684184,542.861034

10000,10000,10000,3.492499,572.655788
10000,10000,10000,3.481696,574.432621
10000,10000,10000,3.629259,551.076697
10000,10000,10000,3.472846,575.896580
10000,10000,10000,3.544467,564.259724

10000,10000,10000,3.737828,535.070130
10000,10000,10000,3.735846,535.354033
10000,10000,10000,3.705723,539.705762
10000,10000,10000,3.638112,549.735757
10000,10000,10000,3.694304,541.373915

10000,10000,10000,3.420807,584.657283
10000,10000,10000,3.406061,587.188571
10000,10000,10000,3.430774,582.958757
10000,10000,10000,3.476125,575.353320
10000,10000,10000,3.427017,583.597878

10000,10000,10000,3.915298,510.816816
10000,10000,10000,3.715270,538.318816
10000,10000,10000,3.672718,544.555771
10000,10000,10000,3.694991,541.273283
10000,10000,10000,3.648974,548.099212

10000,10000,10000,3.717409,538.009142
10000,10000,10000,3.498839,571.618202
10000,10000,10000,3.557013,562.269490
10000,10000,10000,3.555585,562.495283
10000,10000,10000,3.545195,564.143896

10000,10000,10000,3.807277,525.309863
10000,10000,10000,3.709305,539.184623
10000,10000,10000,3.777128,529.502809
10000,10000,10000,3.822390,523.232874
10000,10000,10000,3.817857,523.854137

10000,10000,10000,3.712339,538.743966
10000,10000,10000,4.164657,480.231664
10000,10000,10000,4.682692,427.104712
10000,10000,10000,4.172431,479.336856
10000,10000,10000,4.800189,416.650250

10000,10000,10000,3.798569,526.514069
10000,10000,10000,3.950675,506.242638
10000,10000,10000,3.911837,511.268797
10000,10000,10000,3.763970,531.353934
10000,10000,10000,3.774879,529.818358

10000,10000,10000,3.670308,544.913436
10000,10000,10000,3.604400,554.877362
10000,10000,10000,4.366627,458.019433
10000,10000,10000,4.350039,459.766018
10000,10000,10000,3.981118,502.371388

10000,10000,10000,3.727072,536.614200
10000,10000,10000,4.155236,481.320449
10000,10000,10000,4.691832,426.272733
10000,10000,10000,3.898783,512.980641
10000,10000,10000,3.731102,536.034606

10000,10000,10000,3.611032,553.858310
10000,10000,10000,4.002434,499.695937
10000,10000,10000,4.921028,406.419177
10000,10000,10000,3.531294,566.364585
10000,10000,10000,4.096882,488.176156

10000,10000,10000,3.745455,533.980520
10000,10000,10000,3.715901,538.227449
10000,10000,10000,4.186732,477.699559
10000,10000,10000,4.160344,480.729455
10000,10000,10000,3.723083,537.189162

10000,10000,10000,4.867708,410.870972
10000,10000,10000,3.545715,564.061178
10000,10000,10000,3.648723,548.136957
10000,10000,10000,4.093826,488.540601
10000,10000,10000,4.051361,493.661269

10000,10000,10000,3.843153,520.405976
10000,10000,10000,3.748976,533.479046
10000,10000,10000,4.155765,481.259114
10000,10000,10000,4.357132,459.017549
10000,10000,10000,3.717931,537.933544

10000,10000,10000,3.776069,529.651398
10000,10000,10000,3.917487,510.531305
10000,10000,10000,3.738007,535.044443
10000,10000,10000,3.792744,527.322754
10000,10000,10000,3.740196,534.731316

10000,10000,10000,3.895143,513.459997
10000,10000,10000,3.794985,527.011284
10000,10000,10000,3.760239,531.881143
10000,10000,10000,3.740502,534.687624
10000,10000,10000,3.595862,556.194850

10000,10000,10000,3.423754,584.154055
10000,10000,10000,3.641390,549.240741
10000,10000,10000,3.504404,570.710483
10000,10000,10000,4.171828,479.406150
10000,10000,10000,4.962973,402.984259

10000,10000,10000,3.794965,527.014147
10000,10000,10000,3.636422,549.991162
10000,10000,10000,3.661837,546.173951
10000,10000,10000,3.771099,530.349351
10000,10000,10000,3.726656,536.674114

10000,10000,10000,4.083054,489.829442
10000,10000,10000,3.620687,552.381299
10000,10000,10000,3.821663,523.332395
10000,10000,10000,3.810975,524.800032
10000,10000,10000,4.220576,473.868941

10000,10000,10000,4.502212,444.226074
