# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,42.652951,46.890073
10000,10000,10000,42.645137,46.898665
10000,10000,10000,42.419280,47.148373
10000,10000,10000,42.369228,47.204070
10000,10000,10000,42.384761,47.186770

10000,10000,10000,22.338872,89.530037
10000,10000,10000,22.363154,89.432823
10000,10000,10000,22.289440,89.728587
10000,10000,10000,22.580766,88.570956
10000,10000,10000,22.349916,89.485794

10000,10000,10000,14.963660,133.657142
10000,10000,10000,14.926335,133.991369
10000,10000,10000,14.904776,134.185180
10000,10000,10000,14.876662,134.438760
10000,10000,10000,14.818282,134.968408

10000,10000,10000,11.149741,179.376371
10000,10000,10000,11.115749,179.924894
10000,10000,10000,11.195156,178.648694
10000,10000,10000,11.232127,178.060669
10000,10000,10000,11.153072,179.322789

10000,10000,10000,8.830318,226.492416
10000,10000,10000,8.810440,227.003419
10000,10000,10000,8.931728,223.920842
10000,10000,10000,8.935050,223.837590
10000,10000,10000,8.861488,225.695738

10000,10000,10000,7.609615,262.825381
10000,10000,10000,7.443647,268.685500
10000,10000,10000,7.441117,268.776847
10000,10000,10000,7.542750,265.155297
10000,10000,10000,7.641616,261.724762

10000,10000,10000,6.458288,309.679574
10000,10000,10000,6.463059,309.451012
10000,10000,10000,6.618756,302.171566
10000,10000,10000,6.481469,308.572036
10000,10000,10000,6.468767,309.177939

10000,10000,10000,5.609136,356.561149
10000,10000,10000,5.589145,357.836497
10000,10000,10000,5.575991,358.680645
10000,10000,10000,5.588418,357.883060
10000,10000,10000,5.585919,358.043121

10000,10000,10000,5.081883,393.554911
10000,10000,10000,5.109474,391.429711
10000,10000,10000,5.101394,392.049704
10000,10000,10000,5.100051,392.152954
10000,10000,10000,5.104083,391.843176

10000,10000,10000,4.537614,440.760308
10000,10000,10000,4.529884,441.512458
10000,10000,10000,4.545746,439.971785
10000,10000,10000,4.546089,439.938594
10000,10000,10000,4.525069,441.982258

10000,10000,10000,4.251194,470.456106
10000,10000,10000,4.250490,470.533991
10000,10000,10000,4.235219,472.230636
10000,10000,10000,4.244662,471.180026
10000,10000,10000,4.232520,472.531729

10000,10000,10000,3.810706,524.837110
10000,10000,10000,3.804664,525.670656
10000,10000,10000,3.805108,525.609248
10000,10000,10000,3.791429,527.505608
10000,10000,10000,3.785430,528.341565

10000,10000,10000,3.512671,569.367219
10000,10000,10000,3.518204,568.471792
10000,10000,10000,3.490367,573.005676
10000,10000,10000,3.493192,572.542211
10000,10000,10000,3.490737,572.944968

10000,10000,10000,3.394600,589.171048
10000,10000,10000,3.389812,590.003196
10000,10000,10000,3.378020,592.062818
10000,10000,10000,3.363652,594.591806
