# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,20.472255,97.693193
10000,10000,10000,20.442470,97.835537
10000,10000,10000,20.543088,97.356347
10000,10000,10000,20.507489,97.525348
10000,10000,10000,20.459410,97.754529

10000,10000,10000,11.264569,177.547842
10000,10000,10000,11.142999,179.484892
10000,10000,10000,11.269343,177.472637
10000,10000,10000,11.236497,177.991418
10000,10000,10000,11.242570,177.895272

10000,10000,10000,7.686386,260.200308
10000,10000,10000,7.684701,260.257375
10000,10000,10000,7.697134,259.836989
10000,10000,10000,7.688219,260.138275
10000,10000,10000,7.712510,259.318945

10000,10000,10000,5.661381,353.270665
10000,10000,10000,5.743473,348.221383
10000,10000,10000,5.757016,347.402169
10000,10000,10000,5.626447,355.464103
10000,10000,10000,5.813141,344.048062

10000,10000,10000,4.482350,446.194494
10000,10000,10000,4.405293,453.999294
10000,10000,10000,4.452178,449.218338
10000,10000,10000,4.408272,453.692538
10000,10000,10000,4.438265,450.626525

10000,10000,10000,3.757277,532.300429
10000,10000,10000,3.904979,512.166672
10000,10000,10000,3.921108,510.059849
10000,10000,10000,3.907282,511.864730
10000,10000,10000,3.914414,510.932162

10000,10000,10000,3.250006,615.383401
10000,10000,10000,3.182506,628.435563
10000,10000,10000,3.181339,628.666173
10000,10000,10000,3.187969,627.358576
10000,10000,10000,3.189437,627.069869

10000,10000,10000,2.811473,711.370836
10000,10000,10000,2.810078,711.724011
10000,10000,10000,2.812175,711.193290
10000,10000,10000,2.858533,699.659482
10000,10000,10000,2.808121,712.219904

10000,10000,10000,2.529087,790.799141
10000,10000,10000,2.525916,791.791955
10000,10000,10000,2.522206,792.956543
10000,10000,10000,2.511900,796.210112
10000,10000,10000,2.503694,798.819736

10000,10000,10000,2.257455,885.953352
10000,10000,10000,2.260676,884.691027
10000,10000,10000,2.251624,888.247698
10000,10000,10000,2.260689,884.685859
10000,10000,10000,2.262919,883.814066

10000,10000,10000,2.169644,921.810261
10000,10000,10000,2.181519,916.792455
10000,10000,10000,2.188510,913.863826
10000,10000,10000,2.185661,915.055062
10000,10000,10000,2.149760,930.336341

10000,10000,10000,1.873224,1067.677837
10000,10000,10000,1.875378,1066.451696
10000,10000,10000,1.873459,1067.544275
10000,10000,10000,1.872830,1067.902860
10000,10000,10000,1.878304,1064.790142

10000,10000,10000,1.868560,1070.342769
10000,10000,10000,1.878568,1064.640899
10000,10000,10000,1.866492,1071.528714
10000,10000,10000,1.876311,1065.921647
10000,10000,10000,1.867539,1070.927886

10000,10000,10000,1.651754,1210.833895
10000,10000,10000,1.646044,1215.034027
10000,10000,10000,1.649125,1212.764387
10000,10000,10000,1.647623,1213.869687
10000,10000,10000,1.650485,1211.765318

10000,10000,10000,1.564407,1278.439285
10000,10000,10000,1.564754,1278.156055
10000,10000,10000,1.565934,1277.193119
10000,10000,10000,1.578438,1267.075653
10000,10000,10000,1.570774,1273.257984

10000,10000,10000,1.524147,1312.209546
10000,10000,10000,1.533100,1304.546103
10000,10000,10000,1.532458,1305.092454
10000,10000,10000,1.517320,1318.113881
10000,10000,10000,1.526891,1309.851477

10000,10000,10000,1.517214,1318.205585
10000,10000,10000,1.520197,1315.618999
10000,10000,10000,1.536609,1301.566990
10000,10000,10000,1.528403,1308.555259
10000,10000,10000,1.527529,1309.304374

10000,10000,10000,1.429632,1398.960987
10000,10000,10000,1.482909,1348.700431
10000,10000,10000,1.424880,1403.626675
10000,10000,10000,1.419009,1409.434507
10000,10000,10000,1.428053,1400.508381

10000,10000,10000,1.421075,1407.385188
10000,10000,10000,1.425355,1403.159030
10000,10000,10000,1.422317,1406.156720
10000,10000,10000,1.429991,1398.609958
10000,10000,10000,1.475914,1355.092603

10000,10000,10000,1.433525,1395.162689
10000,10000,10000,1.422807,1405.672329
10000,10000,10000,1.419511,1408.935996
10000,10000,10000,1.424821,1403.685152
10000,10000,10000,1.419664,1408.784078

10000,10000,10000,1.309887,1526.849209
10000,10000,10000,1.312742,1523.529023
10000,10000,10000,1.306456,1530.858479
10000,10000,10000,1.309943,1526.783416
10000,10000,10000,1.312890,1523.356641

10000,10000,10000,1.198044,1669.387664
10000,10000,10000,1.199470,1667.403314
10000,10000,10000,1.200325,1666.215007
10000,10000,10000,1.196598,1671.404675
10000,10000,10000,1.197380,1670.313226

10000,10000,10000,1.200361,1666.164918
10000,10000,10000,1.199030,1668.015111
10000,10000,10000,1.196053,1672.166236
10000,10000,10000,1.203933,1661.221887
