# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,20.559831,97.277065
10000,10000,10000,20.560583,97.273506
10000,10000,10000,20.669662,96.760169
10000,10000,10000,20.580778,97.178057
10000,10000,10000,20.595244,97.109801

10000,10000,10000,10.767421,185.745492
10000,10000,10000,10.746856,186.100940
10000,10000,10000,10.740993,186.202521
10000,10000,10000,10.818511,184.868324
10000,10000,10000,10.764063,185.803439

10000,10000,10000,7.234738,276.444028
10000,10000,10000,7.248627,275.914314
10000,10000,10000,7.288244,274.414525
10000,10000,10000,7.238837,276.287478
10000,10000,10000,7.227939,276.704069

10000,10000,10000,5.662200,353.219593
10000,10000,10000,5.644956,354.298568
10000,10000,10000,5.663717,353.125011
10000,10000,10000,5.610671,356.463626
10000,10000,10000,5.653456,353.765882

10000,10000,10000,4.397607,454.792767
10000,10000,10000,4.450248,449.413204
10000,10000,10000,4.443432,450.102565
10000,10000,10000,4.684366,426.952122
10000,10000,10000,4.463085,448.120485

10000,10000,10000,3.926106,509.410542
10000,10000,10000,3.919366,510.286652
10000,10000,10000,3.908493,511.706232
10000,10000,10000,3.926306,509.384682
10000,10000,10000,3.917961,510.469544

10000,10000,10000,3.158237,633.264622
10000,10000,10000,3.157021,633.508694
10000,10000,10000,3.177144,629.496118
10000,10000,10000,3.150506,634.818590
10000,10000,10000,3.514332,569.098151

10000,10000,10000,2.785500,718.004021
10000,10000,10000,2.784218,718.334623
10000,10000,10000,2.772567,721.353189
10000,10000,10000,2.780201,719.372351
10000,10000,10000,2.782523,718.772217

10000,10000,10000,2.485193,804.766505
10000,10000,10000,2.486771,804.255810
10000,10000,10000,2.501400,799.552401
10000,10000,10000,2.494015,801.919697
10000,10000,10000,2.488445,803.714610

10000,10000,10000,2.240770,892.550154
10000,10000,10000,2.248212,889.595846
10000,10000,10000,2.237625,893.804960
10000,10000,10000,2.247198,889.997366
10000,10000,10000,2.248193,889.603459

10000,10000,10000,2.051795,974.756025
10000,10000,10000,2.079725,961.665699
10000,10000,10000,2.057712,971.953126
10000,10000,10000,2.042510,979.187235
10000,10000,10000,2.242644,891.804429

10000,10000,10000,1.835164,1089.820610
10000,10000,10000,1.831547,1091.972898
10000,10000,10000,1.829684,1093.084659
10000,10000,10000,1.832556,1091.371968
10000,10000,10000,1.826338,1095.087313

10000,10000,10000,1.891473,1057.376970
10000,10000,10000,1.895113,1055.345828
10000,10000,10000,1.891878,1057.150814
10000,10000,10000,1.893724,1056.119858
10000,10000,10000,1.894152,1055.881429

10000,10000,10000,1.588429,1259.105862
10000,10000,10000,1.591968,1256.306924
10000,10000,10000,1.596068,1253.079688
10000,10000,10000,1.595235,1253.733515
10000,10000,10000,1.593033,1255.466932

