# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,31.457035,63.578782
10000,10000,10000,31.402619,63.688956
10000,10000,10000,31.309788,63.877788
10000,10000,10000,31.338727,63.818802
10000,10000,10000,31.234724,64.031301

10000,10000,10000,19.943997,100.280800
10000,10000,10000,20.125837,99.374749
10000,10000,10000,20.017194,99.914103
10000,10000,10000,20.601574,97.079960
10000,10000,10000,20.172329,99.145715

10000,10000,10000,20.329329,98.380028
10000,10000,10000,19.931667,100.342838
10000,10000,10000,20.045688,99.772082
10000,10000,10000,19.645395,101.805028
10000,10000,10000,20.325279,98.399635

10000,10000,10000,12.997205,153.879241
10000,10000,10000,13.453492,148.660290
10000,10000,10000,13.213251,151.363207
10000,10000,10000,13.239644,151.061465
10000,10000,10000,12.736253,157.032062

10000,10000,10000,10.180653,196.451046
10000,10000,10000,10.370656,192.851830
10000,10000,10000,10.202931,196.022097
10000,10000,10000,10.177691,196.508232
10000,10000,10000,10.328141,193.645693

10000,10000,10000,7.046980,283.809516
10000,10000,10000,6.634934,301.434801
10000,10000,10000,6.908141,289.513495
10000,10000,10000,6.654136,300.564948
10000,10000,10000,6.507691,307.328657

10000,10000,10000,6.744559,296.535319
10000,10000,10000,6.744633,296.532065
10000,10000,10000,6.780462,294.965131
10000,10000,10000,6.815143,293.464128
10000,10000,10000,6.666695,299.998744

10000,10000,10000,4.963117,402.972579
10000,10000,10000,5.244370,381.361323
10000,10000,10000,5.147640,388.527535
10000,10000,10000,5.231453,382.302980
10000,10000,10000,5.162127,387.437158

10000,10000,10000,4.909312,407.389056
10000,10000,10000,5.030660,397.562115
10000,10000,10000,4.935380,405.237255
10000,10000,10000,5.038091,396.975759
10000,10000,10000,4.964038,402.897776

10000,10000,10000,4.536816,440.837838
10000,10000,10000,4.590744,435.659261
10000,10000,10000,4.410753,453.437360
10000,10000,10000,4.400539,454.489805
10000,10000,10000,4.535139,441.000820

10000,10000,10000,3.986197,501.731400
10000,10000,10000,4.147604,482.206116
10000,10000,10000,4.038076,495.285434
10000,10000,10000,3.979789,502.539149
10000,10000,10000,4.085281,489.562367

10000,10000,10000,3.440696,581.277695
10000,10000,10000,3.424208,584.076720
10000,10000,10000,3.433275,582.534198
10000,10000,10000,3.430172,583.061103
10000,10000,10000,3.460047,578.026911

10000,10000,10000,3.408788,586.718854
10000,10000,10000,3.475472,575.461415
10000,10000,10000,3.530412,566.506193
10000,10000,10000,3.478586,574.946307
10000,10000,10000,3.411227,586.299290

10000,10000,10000,2.978713,671.430836
10000,10000,10000,3.037810,658.368953
10000,10000,10000,2.953727,677.110545
10000,10000,10000,3.104649,644.195228
10000,10000,10000,3.040887,657.702835

10000,10000,10000,2.725582,733.788269
10000,10000,10000,2.889055,692.267832
10000,10000,10000,2.836944,704.984027
10000,10000,10000,2.862091,698.789737
10000,10000,10000,2.831250,706.401852

10000,10000,10000,2.786287,717.801110
10000,10000,10000,2.799383,714.443158
10000,10000,10000,2.820849,709.006491
10000,10000,10000,2.793422,715.967842
10000,10000,10000,2.925684,683.600886

10000,10000,10000,2.625056,761.888518
10000,10000,10000,2.688104,744.018894
10000,10000,10000,2.726036,733.665983
10000,10000,10000,2.710548,737.858261
10000,10000,10000,2.689554,743.617587

10000,10000,10000,2.387338,837.753338
10000,10000,10000,2.498072,800.617537
10000,10000,10000,2.454172,814.938863
10000,10000,10000,2.531166,790.149794
10000,10000,10000,2.402397,832.501947

10000,10000,10000,2.523144,792.661801
10000,10000,10000,2.424192,825.017273
10000,10000,10000,2.516185,794.853986
10000,10000,10000,2.557333,782.064824
10000,10000,10000,2.516192,794.851799

10000,10000,10000,2.188973,913.670421
10000,10000,10000,2.180869,917.065820
10000,10000,10000,2.159191,926.272786
10000,10000,10000,2.155794,927.732498
10000,10000,10000,2.168743,922.193238

10000,10000,10000,2.189166,913.589829
10000,10000,10000,2.233510,895.451602
10000,10000,10000,2.288742,873.842573
10000,10000,10000,2.199819,909.165734
10000,10000,10000,2.163376,924.481108

10000,10000,10000,2.253850,887.370636
10000,10000,10000,2.127988,939.855044
10000,10000,10000,2.134801,936.855611
10000,10000,10000,2.130810,938.610169
10000,10000,10000,2.089152,957.326213

10000,10000,10000,2.098712,952.965458
10000,10000,10000,2.163930,924.244484
10000,10000,10000,2.128970,939.421332
10000,10000,10000,2.278075,877.934408
10000,10000,10000,2.079200,961.908505

10000,10000,10000,1.930666,1035.911717
10000,10000,10000,1.955195,1022.915790
10000,10000,10000,1.944079,1028.764528
10000,10000,10000,1.927036,1037.863433
10000,10000,10000,1.953339,1023.887622

10000,10000,10000,1.921770,1040.707403
10000,10000,10000,1.984530,1007.795209
10000,10000,10000,1.924605,1039.174045
10000,10000,10000,2.002234,998.884326
10000,10000,10000,1.914187,1044.830082

10000,10000,10000,1.875867,1066.173639
10000,10000,10000,1.886033,1060.426848
