# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,32.833738,60.912954
10000,10000,10000,32.972594,60.656434
10000,10000,10000,32.812642,60.952116
10000,10000,10000,33.122503,60.381911
10000,10000,10000,33.087754,60.445324

10000,10000,10000,15.977694,125.174509
10000,10000,10000,16.320925,122.542071
10000,10000,10000,16.682393,119.886875
10000,10000,10000,16.797044,119.068569
10000,10000,10000,16.611649,120.397439

10000,10000,10000,17.341973,115.327129
10000,10000,10000,17.748499,112.685585
10000,10000,10000,17.893065,111.775151
10000,10000,10000,17.427492,114.761204
10000,10000,10000,17.638348,113.389302

10000,10000,10000,12.319343,162.346326
10000,10000,10000,12.283507,162.819952
10000,10000,10000,11.892142,168.178287
10000,10000,10000,12.206338,163.849312
10000,10000,10000,12.426389,160.947808

10000,10000,10000,9.030546,221.470542
10000,10000,10000,9.043901,221.143509
10000,10000,10000,9.467498,211.249051
10000,10000,10000,9.676380,206.688876
10000,10000,10000,9.213187,217.080156

10000,10000,10000,6.004387,333.089801
10000,10000,10000,6.311271,316.893400
10000,10000,10000,6.362744,314.329787
10000,10000,10000,6.210595,322.030317
10000,10000,10000,6.441991,310.463017

10000,10000,10000,6.496627,307.852076
10000,10000,10000,6.426990,311.187640
10000,10000,10000,6.571019,304.366786
10000,10000,10000,6.452769,309.944457
10000,10000,10000,6.775418,295.184738

10000,10000,10000,4.911636,407.196312
10000,10000,10000,5.152676,388.147805
10000,10000,10000,5.170426,386.815301
10000,10000,10000,5.102201,391.987707
10000,10000,10000,5.090498,392.888851

10000,10000,10000,5.197383,384.809072
10000,10000,10000,5.146702,388.598389
10000,10000,10000,5.192678,385.157704
10000,10000,10000,5.096555,392.421926
10000,10000,10000,5.260554,380.188116

10000,10000,10000,4.547324,439.819079
10000,10000,10000,4.524877,442.000927
10000,10000,10000,4.564632,438.151435
10000,10000,10000,4.450852,449.352208
10000,10000,10000,4.555647,439.015618

10000,10000,10000,4.283215,466.938941
10000,10000,10000,4.268751,468.521145
10000,10000,10000,4.257281,469.783422
