# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,20.439111,97.851613
10000,10000,10000,20.842444,95.958037
10000,10000,10000,20.491684,97.600569
10000,10000,10000,20.463924,97.732968
10000,10000,10000,20.964539,95.399189

10000,10000,10000,11.085422,180.417126
10000,10000,10000,10.804503,185.108011
10000,10000,10000,10.841670,184.473427
10000,10000,10000,10.997700,181.856213
10000,10000,10000,10.805642,185.088499

10000,10000,10000,7.290638,274.324401
10000,10000,10000,7.605708,262.960392
10000,10000,10000,7.339556,272.496035
10000,10000,10000,7.305347,273.772065
10000,10000,10000,7.339182,272.509934

10000,10000,10000,5.509119,363.034462
10000,10000,10000,5.482186,364.817988
10000,10000,10000,5.614827,356.199757
10000,10000,10000,5.573238,358.857784
10000,10000,10000,5.571007,359.001503

10000,10000,10000,4.301330,464.972429
10000,10000,10000,4.360135,458.701430
10000,10000,10000,4.352688,459.486136
10000,10000,10000,4.349016,459.874112
10000,10000,10000,4.350925,459.672412

10000,10000,10000,3.728188,536.453676
10000,10000,10000,3.690919,541.870420
10000,10000,10000,3.714359,538.450894
10000,10000,10000,3.676351,544.017659
10000,10000,10000,3.661997,546.150098

10000,10000,10000,3.181781,628.578689
10000,10000,10000,3.144801,635.970377
10000,10000,10000,3.147142,635.497277
10000,10000,10000,3.191106,626.742043
10000,10000,10000,3.181146,628.704256

10000,10000,10000,2.786789,717.671800
10000,10000,10000,2.791742,716.398555
10000,10000,10000,2.759557,724.753918
10000,10000,10000,2.777378,720.103611
10000,10000,10000,2.787153,717.578211

10000,10000,10000,2.505253,798.322488
10000,10000,10000,2.500368,799.882254
10000,10000,10000,2.510390,796.688981
10000,10000,10000,2.513184,795.803222
10000,10000,10000,2.499288,800.227997

10000,10000,10000,2.260060,884.932191
10000,10000,10000,2.254198,887.233544
10000,10000,10000,2.259813,885.028874
10000,10000,10000,2.244777,890.957076
10000,10000,10000,2.263059,883.759725

10000,10000,10000,2.159298,926.226784
10000,10000,10000,2.132055,938.061972
10000,10000,10000,2.143507,933.050450
10000,10000,10000,2.126953,940.312156
10000,10000,10000,2.102865,951.083348

10000,10000,10000,1.907418,1048.538120
10000,10000,10000,1.899907,1052.683108
10000,10000,10000,2.015802,992.160957
10000,10000,10000,1.942913,1029.382006
10000,10000,10000,1.912742,1045.619336

10000,10000,10000,1.791316,1116.497344
10000,10000,10000,1.859829,1075.367450
10000,10000,10000,1.839186,1087.437538
10000,10000,10000,1.867939,1070.698557
10000,10000,10000,1.772210,1128.534285

