# running on EPYC
# thread allocation policy: cores, spread
# max number of threads: 64
# m, n, k, time, gflops
10000,10000,10000,21.384575,93.525357
10000,10000,10000,20.640893,96.895032
10000,10000,10000,20.641013,96.894468
10000,10000,10000,20.695174,96.640887
10000,10000,10000,20.942663,95.498841

10000,10000,10000,11.207655,178.449464
10000,10000,10000,11.316559,176.732165
10000,10000,10000,11.017446,181.530276
10000,10000,10000,11.356976,176.103219
10000,10000,10000,11.044605,181.083887

10000,10000,10000,7.399177,270.300339
10000,10000,10000,7.413079,269.793411
10000,10000,10000,7.422099,269.465542
10000,10000,10000,7.437255,268.916420
10000,10000,10000,7.535768,265.400936

10000,10000,10000,5.545329,360.663897
10000,10000,10000,5.604924,356.829119
10000,10000,10000,5.560444,359.683494
10000,10000,10000,5.583026,358.228688
10000,10000,10000,5.543017,360.814335

10000,10000,10000,4.386035,455.992745
10000,10000,10000,4.602237,434.571282
10000,10000,10000,4.518811,442.594295
10000,10000,10000,4.443776,450.067715
10000,10000,10000,4.467353,447.692393

10000,10000,10000,3.780086,529.088518
10000,10000,10000,3.702756,540.138182
10000,10000,10000,3.819842,523.581815
10000,10000,10000,3.737027,535.184781
10000,10000,10000,3.713276,538.607891

10000,10000,10000,3.291882,607.555264
10000,10000,10000,3.223295,620.483130
10000,10000,10000,3.280218,609.715616
10000,10000,10000,3.223462,620.450943
10000,10000,10000,3.232125,618.787970

10000,10000,10000,2.820750,709.031300
10000,10000,10000,2.872490,696.259978
10000,10000,10000,2.830924,706.483153
10000,10000,10000,2.845807,702.788380
10000,10000,10000,2.784824,718.178158

10000,10000,10000,2.587637,772.906036
10000,10000,10000,2.524513,792.232133
10000,10000,10000,2.534889,788.989245
10000,10000,10000,2.553387,783.273452
10000,10000,10000,2.553705,783.175789

10000,10000,10000,2.267787,881.917087
10000,10000,10000,2.287179,874.439561
10000,10000,10000,2.236335,894.320390
10000,10000,10000,2.283064,876.015755
10000,10000,10000,2.258737,885.450742

10000,10000,10000,2.152673,929.077570
10000,10000,10000,2.119107,943.793604
10000,10000,10000,2.135319,936.628260
10000,10000,10000,2.145816,932.046558
10000,10000,10000,2.120333,943.247850

10000,10000,10000,1.946371,1027.553238
10000,10000,10000,1.948701,1026.324635
10000,10000,10000,1.973738,1013.305477
10000,10000,10000,1.971640,1014.383957
10000,10000,10000,1.870659,1069.141694

10000,10000,10000,1.727393,1157.814080
10000,10000,10000,1.764051,1133.753907
10000,10000,10000,1.812783,1103.275876
10000,10000,10000,1.818330,1099.910454
10000,10000,10000,1.764468,1133.486414

10000,10000,10000,1.759547,1136.655922
10000,10000,10000,1.659450,1205.218787
10000,10000,10000,1.745313,1145.926498
10000,10000,10000,1.713235,1167.382188
10000,10000,10000,1.726657,1158.307856

10000,10000,10000,1.562691,1279.843865
10000,10000,10000,1.639944,1219.553626
10000,10000,10000,1.629985,1227.005185
10000,10000,10000,1.563164,1279.456636
10000,10000,10000,1.645702,1215.286533

10000,10000,10000,1.410888,1417.546512
10000,10000,10000,1.463248,1366.822312
10000,10000,10000,1.460442,1369.448402
10000,10000,10000,1.497227,1335.803090
10000,10000,10000,1.475762,1355.232081

10000,10000,10000,1.467736,1362.642892
10000,10000,10000,1.354844,1476.184884
10000,10000,10000,1.429887,1398.711796
10000,10000,10000,1.466108,1364.155705
10000,10000,10000,1.426647,1401.888235

10000,10000,10000,1.378848,1450.486328
10000,10000,10000,1.378223,1451.144367
10000,10000,10000,1.374193,1455.400161
10000,10000,10000,1.393011,1435.739047
10000,10000,10000,1.279828,1562.709465

10000,10000,10000,1.379294,1450.017556
10000,10000,10000,1.330453,1503.247785
10000,10000,10000,1.356691,1474.175234
10000,10000,10000,1.356248,1474.656909
10000,10000,10000,1.354407,1476.660608

10000,10000,10000,1.279974,1562.531619
10000,10000,10000,1.176231,1700.346092
10000,10000,10000,1.183405,1690.037838
10000,10000,10000,1.281362,1560.839306
10000,10000,10000,1.282271,1559.732849

10000,10000,10000,1.154813,1731.881713
10000,10000,10000,1.257831,1590.038279
10000,10000,10000,1.243945,1607.788034
10000,10000,10000,1.286865,1554.164186
10000,10000,10000,1.193650,1675.533665

10000,10000,10000,1.159065,1725.528170
10000,10000,10000,1.287763,1553.080734
10000,10000,10000,1.254675,1594.037941
10000,10000,10000,1.161939,1721.260423
10000,10000,10000,1.259983,1587.323209

10000,10000,10000,1.136463,1759.845918
10000,10000,10000,1.122707,1781.408919
10000,10000,10000,1.132253,1766.388940
10000,10000,10000,1.143788,1748.575282
10000,10000,10000,1.126318,1775.698224

10000,10000,10000,1.152401,1735.506628
10000,10000,10000,1.287721,1553.131570
10000,10000,10000,1.122199,1782.214554
10000,10000,10000,1.226914,1630.105750
10000,10000,10000,1.204839,1659.972979

10000,10000,10000,1.125913,1776.336605
10000,10000,10000,1.122976,1780.982156
10000,10000,10000,1.109028,1803.381595
10000,10000,10000,1.117263,1790.089544
10000,10000,10000,1.128763,1771.850742

10000,10000,10000,1.257695,1590.210561
10000,10000,10000,1.083163,1846.444611
10000,10000,10000,1.115004,1793.715940
10000,10000,10000,1.230306,1625.612138
10000,10000,10000,1.104877,1810.156381

10000,10000,10000,1.128979,1771.512679
10000,10000,10000,1.169700,1709.839574
10000,10000,10000,1.132319,1766.286831
10000,10000,10000,1.180548,1694.128180
10000,10000,10000,1.221435,1637.417628

10000,10000,10000,1.182243,1691.699229
10000,10000,10000,1.244696,1606.817929
10000,10000,10000,1.195630,1672.758583
10000,10000,10000,1.250680,1599.130518
10000,10000,10000,1.145404,1746.109332

10000,10000,10000,1.225091,1632.531302
10000,10000,10000,1.221981,1636.687117
