# running on THIN
# thread allocation policy: cores, spread
# max number of threads: 24
# m, n, k, time, gflops
10000,10000,10000,30.379085,65.834767
10000,10000,10000,30.879616,64.767644
10000,10000,10000,30.380643,65.831391
10000,10000,10000,30.396781,65.796440
10000,10000,10000,30.422297,65.741254

10000,10000,10000,15.783733,126.712734
10000,10000,10000,15.822518,126.402133
10000,10000,10000,15.760428,126.900104
10000,10000,10000,15.800617,126.577332
10000,10000,10000,15.880531,125.940373

10000,10000,10000,10.342767,193.371852
10000,10000,10000,10.352031,193.198810
10000,10000,10000,10.355766,193.129117
10000,10000,10000,10.373830,192.792832
10000,10000,10000,10.332721,193.559858

10000,10000,10000,7.846817,254.880406
10000,10000,10000,7.850878,254.748587
10000,10000,10000,7.851855,254.716872
10000,10000,10000,7.847492,254.858494
10000,10000,10000,7.841702,255.046664

10000,10000,10000,6.555510,305.086850
10000,10000,10000,6.545604,305.548571
10000,10000,10000,6.545891,305.535173
10000,10000,10000,6.578654,304.013552
10000,10000,10000,6.576974,304.091234

10000,10000,10000,5.247988,381.098444
10000,10000,10000,5.253664,380.686722
10000,10000,10000,5.252083,380.801310
10000,10000,10000,5.272850,379.301536
10000,10000,10000,5.263994,379.939627

10000,10000,10000,4.553005,439.270310
10000,10000,10000,4.554411,439.134737
10000,10000,10000,4.550843,439.479025
10000,10000,10000,4.548384,439.716640
10000,10000,10000,4.553850,439.188800

10000,10000,10000,4.158358,480.959055
10000,10000,10000,4.193471,476.931893
10000,10000,10000,4.165343,480.152547
10000,10000,10000,4.158514,480.941032
10000,10000,10000,4.166082,480.067373

10000,10000,10000,3.839965,520.838108
10000,10000,10000,3.838915,520.980563
10000,10000,10000,3.835949,521.383386
10000,10000,10000,3.828431,522.407252
10000,10000,10000,3.845221,520.126216

10000,10000,10000,3.291491,607.627387
10000,10000,10000,3.291980,607.537073
10000,10000,10000,3.291999,607.533618
10000,10000,10000,3.293939,607.175714
10000,10000,10000,3.297139,606.586570

10000,10000,10000,2.991162,668.636424
10000,10000,10000,2.979242,671.311766
10000,10000,10000,2.981747,670.747610
10000,10000,10000,2.980443,671.041106
10000,10000,10000,2.980163,671.104178

10000,10000,10000,2.699251,740.946254
10000,10000,10000,2.706894,738.854205
10000,10000,10000,2.705742,739.168648
10000,10000,10000,2.695667,741.931330
10000,10000,10000,2.696891,741.594673

10000,10000,10000,2.701604,740.301074
10000,10000,10000,2.698166,741.244250
10000,10000,10000,2.698571,741.133026
10000,10000,10000,2.705367,739.271316
10000,10000,10000,2.692032,742.933305

10000,10000,10000,2.465726,811.120081
10000,10000,10000,2.467439,810.557069
10000,10000,10000,2.472236,808.984385
10000,10000,10000,2.464661,811.470682
10000,10000,10000,2.456774,814.075681

10000,10000,10000,2.225968,898.485338
10000,10000,10000,2.233601,895.415172
10000,10000,10000,2.222105,900.047651
10000,10000,10000,2.254571,887.086578
10000,10000,10000,2.223880,899.329284

10000,10000,10000,2.175125,919.487482
10000,10000,10000,2.174312,919.831082
10000,10000,10000,2.196571,910.510159
10000,10000,10000,2.180013,917.425759
10000,10000,10000,2.178323,918.137679

10000,10000,10000,2.177381,918.534820
10000,10000,10000,2.177618,918.434629
10000,10000,10000,2.179553,917.619304
10000,10000,10000,2.191251,912.720713
10000,10000,10000,2.172247,920.705554

10000,10000,10000,1.983382,1008.378710
10000,10000,10000,1.989243,1005.407508
10000,10000,10000,1.993332,1003.345137
10000,10000,10000,1.996728,1001.638461
10000,10000,10000,2.006485,996.767887

10000,10000,10000,1.986809,1006.639111
10000,10000,10000,1.991735,1004.149811
10000,10000,10000,2.011630,994.218423
10000,10000,10000,1.996033,1001.987361
10000,10000,10000,1.982720,1008.715262

10000,10000,10000,1.830405,1092.654428
10000,10000,10000,1.837046,1088.704073
10000,10000,10000,1.834001,1090.511785
10000,10000,10000,1.829314,1093.305855
10000,10000,10000,1.835755,1089.470097

10000,10000,10000,1.676535,1192.936646
10000,10000,10000,1.678985,1191.195971
10000,10000,10000,1.677997,1191.897373
10000,10000,10000,1.681312,1189.547345
10000,10000,10000,1.684976,1186.960401

10000,10000,10000,1.698635,1177.416005
10000,10000,10000,1.714374,1166.606860
10000,10000,10000,1.731595,1155.004544
10000,10000,10000,1.710378,1169.332373
10000,10000,10000,1.685620,1186.507037

10000,10000,10000,1.733406,1153.797703
10000,10000,10000,1.709171,1170.157859
10000,10000,10000,1.705455,1172.707251
10000,10000,10000,1.737908,1150.809207
10000,10000,10000,1.729182,1156.616584

10000,10000,10000,1.670596,1197.177626
10000,10000,10000,1.655845,1207.842726
10000,10000,10000,1.659208,1205.394066
10000,10000,10000,1.653163,1209.801970
10000,10000,10000,1.660877,1204.183404

