# running on THIN
# thread allocation policy: cores, spread
# max number of threads: 24
# m, n, k, time, gflops
10000,10000,10000,29.819019,67.071288
10000,10000,10000,29.692977,67.355994
10000,10000,10000,29.700350,67.339273
10000,10000,10000,29.712859,67.310924
10000,10000,10000,29.738548,67.252780

10000,10000,10000,15.317234,130.571878
10000,10000,10000,15.301199,130.708710
10000,10000,10000,14.901518,134.214514
10000,10000,10000,15.296440,130.749379
10000,10000,10000,15.300358,130.715897

10000,10000,10000,9.942929,201.147963
10000,10000,10000,9.997445,200.051117
10000,10000,10000,9.918888,201.635506
10000,10000,10000,10.000813,199.983749
10000,10000,10000,9.998419,200.031627

10000,10000,10000,7.401450,270.217336
10000,10000,10000,7.377148,271.107494
10000,10000,10000,7.372807,271.267101
10000,10000,10000,7.369174,271.400836
10000,10000,10000,7.474427,267.579048

10000,10000,10000,6.062633,329.889679
10000,10000,10000,6.057249,330.182908
10000,10000,10000,6.057738,330.156219
10000,10000,10000,6.057090,330.191534
10000,10000,10000,6.058731,330.102153

10000,10000,10000,4.877663,410.032391
10000,10000,10000,4.888154,409.152431
10000,10000,10000,4.889154,409.068690
10000,10000,10000,4.885085,409.409417
10000,10000,10000,4.885810,409.348718

10000,10000,10000,4.264745,468.961240
10000,10000,10000,4.270966,468.278185
10000,10000,10000,4.261785,469.286971
10000,10000,10000,4.261926,469.271426
10000,10000,10000,4.263665,469.080011

10000,10000,10000,3.778386,529.326572
10000,10000,10000,3.736483,535.262652
10000,10000,10000,3.777180,529.495513
10000,10000,10000,3.738549,534.966912
10000,10000,10000,3.742318,534.428080

10000,10000,10000,3.313757,603.544553
10000,10000,10000,3.306665,604.839075
10000,10000,10000,3.307923,604.609023
10000,10000,10000,3.314435,603.421150
10000,10000,10000,3.310625,604.115448

10000,10000,10000,2.962689,675.062502
10000,10000,10000,2.958071,676.116239
10000,10000,10000,2.963193,674.947537
10000,10000,10000,2.960639,675.529855
10000,10000,10000,2.959568,675.774285

10000,10000,10000,2.682635,745.535711
10000,10000,10000,2.683832,745.203196
10000,10000,10000,2.681944,745.727615
10000,10000,10000,2.680935,746.008432
10000,10000,10000,2.680949,746.004625

10000,10000,10000,2.438456,820.191269
10000,10000,10000,2.439378,819.881135
10000,10000,10000,2.439786,819.743928
10000,10000,10000,2.438481,820.182711
10000,10000,10000,2.437805,820.409996

10000,10000,10000,2.283155,875.980682
10000,10000,10000,2.281414,876.649433
10000,10000,10000,2.284434,875.490329
10000,10000,10000,2.281821,876.492823
10000,10000,10000,2.281907,876.460002

10000,10000,10000,2.120343,943.243805
10000,10000,10000,2.122352,942.350546
10000,10000,10000,2.122197,942.419520
10000,10000,10000,2.122599,942.241082
10000,10000,10000,2.124518,941.390009

10000,10000,10000,1.989588,1005.233318
10000,10000,10000,1.991255,1004.391770
10000,10000,10000,1.991821,1004.106343
10000,10000,10000,1.995267,1002.372011
10000,10000,10000,1.987345,1006.367938

10000,10000,10000,1.874510,1066.945362
10000,10000,10000,1.872157,1068.286672
10000,10000,10000,1.870853,1069.031087
10000,10000,10000,1.872355,1068.173524
10000,10000,10000,1.872086,1068.327234

10000,10000,10000,1.766347,1132.280482
10000,10000,10000,1.769031,1130.562601
10000,10000,10000,1.766081,1132.451018
10000,10000,10000,1.767128,1131.780017
10000,10000,10000,1.770039,1129.918803

10000,10000,10000,1.671166,1196.769501
10000,10000,10000,1.671652,1196.421359
10000,10000,10000,1.672426,1195.867428
10000,10000,10000,1.676697,1192.821254
10000,10000,10000,1.676691,1192.825525

10000,10000,10000,1.593888,1254.793169
10000,10000,10000,1.592923,1255.553662
10000,10000,10000,1.589963,1257.890675
10000,10000,10000,1.590243,1257.669327
10000,10000,10000,1.590296,1257.627435

10000,10000,10000,1.518904,1316.738928
10000,10000,10000,1.520521,1315.338990
10000,10000,10000,1.519660,1316.083712
10000,10000,10000,1.518146,1317.396709
10000,10000,10000,1.518805,1316.824650

10000,10000,10000,1.445993,1383.132806
10000,10000,10000,1.449721,1379.575990
10000,10000,10000,1.446583,1382.568331
10000,10000,10000,1.446338,1382.802934
10000,10000,10000,1.450712,1378.633440

10000,10000,10000,1.393077,1435.671330
10000,10000,10000,1.393326,1435.414364
10000,10000,10000,1.389649,1439.212156
10000,10000,10000,1.392211,1436.563878
10000,10000,10000,1.390299,1438.539920

10000,10000,10000,1.342617,1489.627956
10000,10000,10000,1.343340,1488.825846
10000,10000,10000,1.337650,1495.159180
10000,10000,10000,1.341469,1490.902749
10000,10000,10000,1.341711,1490.634084

10000,10000,10000,1.286744,1554.311297
10000,10000,10000,1.287506,1553.391267
10000,10000,10000,1.286043,1555.157423
10000,10000,10000,1.286077,1555.116802
10000,10000,10000,1.286673,1554.396105

