# running on THIN
# thread allocation policy: cores, spread
# max number of threads: 24
# m, n, k, time, gflops
10000,10000,10000,29.090021,68.752100
10000,10000,10000,29.222359,68.440744
10000,10000,10000,29.013965,68.932324
10000,10000,10000,29.179409,68.541484
10000,10000,10000,28.890835,69.226107

10000,10000,10000,15.074513,132.674271
10000,10000,10000,15.045953,132.926107
10000,10000,10000,14.899917,134.228932
10000,10000,10000,15.131677,132.173053
10000,10000,10000,15.093119,132.510715

10000,10000,10000,9.966721,200.667795
10000,10000,10000,9.903001,201.958991
10000,10000,10000,9.956071,200.882455
10000,10000,10000,9.915782,201.698676
10000,10000,10000,9.937754,201.252722

10000,10000,10000,7.470426,267.722358
10000,10000,10000,7.505843,266.459066
10000,10000,10000,7.456190,268.233493
10000,10000,10000,7.483844,267.242352
10000,10000,10000,7.496727,266.783094

10000,10000,10000,6.372354,313.855783
10000,10000,10000,6.354107,314.757038
10000,10000,10000,6.347856,315.067029
10000,10000,10000,6.214193,321.843900
10000,10000,10000,6.365612,314.188168

10000,10000,10000,4.973056,402.167168
10000,10000,10000,5.019127,398.475676
10000,10000,10000,4.945183,404.433985
10000,10000,10000,5.015100,398.795616
10000,10000,10000,4.966706,402.681378

10000,10000,10000,4.297040,465.436642
10000,10000,10000,4.304127,464.670312
10000,10000,10000,4.415163,452.984429
10000,10000,10000,4.295357,465.619035
10000,10000,10000,4.285466,466.693721

10000,10000,10000,3.787307,528.079676
10000,10000,10000,3.787640,528.033291
10000,10000,10000,3.803277,525.862352
10000,10000,10000,3.801000,526.177291
10000,10000,10000,3.843706,520.331129

10000,10000,10000,3.380160,591.687954
10000,10000,10000,3.361908,594.900198
10000,10000,10000,3.384964,590.848210
10000,10000,10000,3.360019,595.234641
10000,10000,10000,3.359715,595.288579

10000,10000,10000,3.070367,651.387953
10000,10000,10000,3.057132,654.207911
10000,10000,10000,3.047709,656.230720
10000,10000,10000,3.046555,656.479285
10000,10000,10000,3.042579,657.337044

10000,10000,10000,2.745230,728.536418
10000,10000,10000,2.759034,724.891350
10000,10000,10000,2.735935,731.011646
10000,10000,10000,2.791521,716.455332
10000,10000,10000,2.736077,730.973662

10000,10000,10000,2.518916,793.992250
10000,10000,10000,2.496374,801.161881
10000,10000,10000,2.513281,795.772557
10000,10000,10000,2.493393,802.119876
10000,10000,10000,2.509827,796.867730

10000,10000,10000,2.366487,845.134483
10000,10000,10000,2.364771,845.747683
10000,10000,10000,2.382879,839.320751
10000,10000,10000,2.393579,835.568820
10000,10000,10000,2.402288,832.539596

10000,10000,10000,2.165955,923.380198
10000,10000,10000,2.177970,918.286144
10000,10000,10000,2.176900,918.737535
10000,10000,10000,2.197382,910.173983
10000,10000,10000,2.158888,926.402831

10000,10000,10000,2.030151,985.148257
10000,10000,10000,2.049016,976.078415
10000,10000,10000,2.041016,979.904295
10000,10000,10000,2.060601,970.590811
10000,10000,10000,2.040518,980.143214

10000,10000,10000,1.925655,1038.607753
10000,10000,10000,1.933984,1034.134834
10000,10000,10000,1.921831,1040.674128
10000,10000,10000,1.927460,1037.635121
10000,10000,10000,1.927819,1037.441631

10000,10000,10000,1.839027,1087.531781
10000,10000,10000,1.841757,1085.919416
10000,10000,10000,1.846154,1083.333419
10000,10000,10000,1.839131,1087.469849
10000,10000,10000,1.841802,1085.892837

10000,10000,10000,1.732577,1154.349905
10000,10000,10000,1.720709,1162.311781
10000,10000,10000,1.719295,1163.267737
10000,10000,10000,1.741628,1148.351069
10000,10000,10000,1.731750,1154.900809

10000,10000,10000,1.632081,1225.429409
10000,10000,10000,1.637204,1221.594838
10000,10000,10000,1.639090,1220.189339
10000,10000,10000,1.637599,1221.300449
10000,10000,10000,1.633366,1224.465641

10000,10000,10000,1.558799,1283.039314
10000,10000,10000,1.568911,1274.769699
10000,10000,10000,1.571537,1272.639636
10000,10000,10000,1.566682,1276.583336
10000,10000,10000,1.575049,1269.802055

10000,10000,10000,1.512976,1321.897749
10000,10000,10000,1.520106,1315.697747
10000,10000,10000,1.506876,1327.249366
10000,10000,10000,1.513641,1321.316886
10000,10000,10000,1.515519,1319.680092

10000,10000,10000,1.462458,1367.560396
10000,10000,10000,1.459059,1370.746952
10000,10000,10000,1.452784,1376.667440
10000,10000,10000,1.454237,1375.291837
10000,10000,10000,1.459203,1370.611195

10000,10000,10000,1.424729,1403.776184
10000,10000,10000,1.426860,1401.679626
10000,10000,10000,1.434734,1393.986563
10000,10000,10000,1.431700,1396.940799
10000,10000,10000,1.429466,1399.123383

10000,10000,10000,1.421728,1406.739298
10000,10000,10000,1.423997,1404.497180
10000,10000,10000,1.416870,1411.561873
10000,10000,10000,1.421961,1406.508450
10000,10000,10000,1.428652,1399.921441

