# running on THIN
# thread allocation policy: cores, spread
# max number of threads: 24
# m, n, k, time, gflops
10000,10000,10000,15.733078,127.120706
10000,10000,10000,15.735439,127.101634
10000,10000,10000,15.735659,127.099859
10000,10000,10000,15.732548,127.124989
10000,10000,10000,15.765750,126.857273

10000,10000,10000,8.369644,238.958791
10000,10000,10000,8.290348,241.244390
10000,10000,10000,8.383290,238.569813
10000,10000,10000,8.316279,240.492184
10000,10000,10000,8.319819,240.389844

10000,10000,10000,5.464469,366.000793
10000,10000,10000,5.467806,365.777433
10000,10000,10000,5.429010,368.391312
10000,10000,10000,5.468678,365.719102
10000,10000,10000,5.491857,364.175545

10000,10000,10000,4.130647,484.185609
10000,10000,10000,4.111968,486.385130
10000,10000,10000,4.117656,485.713195
10000,10000,10000,4.105074,487.201986
10000,10000,10000,4.110168,486.598074

10000,10000,10000,3.562176,561.454534
10000,10000,10000,3.559422,561.889057
10000,10000,10000,3.566090,560.838411
10000,10000,10000,3.586280,557.680870
10000,10000,10000,3.584256,557.995842

10000,10000,10000,2.762137,724.077050
10000,10000,10000,2.754292,726.139453
10000,10000,10000,2.754277,726.143340
10000,10000,10000,2.763932,723.606789
10000,10000,10000,2.771701,721.578648

10000,10000,10000,2.460216,812.936650
10000,10000,10000,2.467342,810.589044
10000,10000,10000,2.482045,805.787216
10000,10000,10000,2.467367,810.580809
10000,10000,10000,2.466013,811.025835

10000,10000,10000,2.280572,876.972894
10000,10000,10000,2.279117,877.532652
10000,10000,10000,2.275623,878.880312
10000,10000,10000,2.277709,878.075274
10000,10000,10000,2.277790,878.044026

10000,10000,10000,2.038853,980.943761
10000,10000,10000,2.053372,974.007563
10000,10000,10000,2.047349,976.873195
10000,10000,10000,2.048208,976.463214
10000,10000,10000,2.051172,975.052440

10000,10000,10000,1.803761,1108.794653
10000,10000,10000,1.783455,1121.418735
10000,10000,10000,1.803978,1108.661242
10000,10000,10000,1.810325,1104.774184
10000,10000,10000,1.790014,1117.309695

10000,10000,10000,1.592863,1255.600572
10000,10000,10000,1.578206,1267.261875
10000,10000,10000,1.577507,1267.823032
10000,10000,10000,1.603316,1247.414465
10000,10000,10000,1.584785,1262.001034

10000,10000,10000,1.451687,1377.707136
10000,10000,10000,1.441995,1386.967557
10000,10000,10000,1.441130,1387.799734
10000,10000,10000,1.443821,1385.212909
10000,10000,10000,1.441620,1387.328323

10000,10000,10000,1.439970,1388.917927
10000,10000,10000,1.432845,1395.824724
10000,10000,10000,1.431113,1397.513643
10000,10000,10000,1.445885,1383.235405
10000,10000,10000,1.449455,1379.828679

10000,10000,10000,1.235220,1619.145386
10000,10000,10000,1.254987,1593.641380
10000,10000,10000,1.239671,1613.331560
10000,10000,10000,1.243139,1608.831115
10000,10000,10000,1.242420,1609.761485

10000,10000,10000,1.158639,1726.162925
10000,10000,10000,1.148585,1741.273067
10000,10000,10000,1.155659,1730.613893
10000,10000,10000,1.157051,1728.532403
10000,10000,10000,1.162140,1720.962333

10000,10000,10000,1.168627,1711.410680
10000,10000,10000,1.165956,1715.331186
10000,10000,10000,1.169775,1709.731122
10000,10000,10000,1.164591,1717.340632
10000,10000,10000,1.165185,1716.466147

10000,10000,10000,1.160169,1723.886550
10000,10000,10000,1.168959,1710.923629
10000,10000,10000,1.162055,1721.089565
10000,10000,10000,1.167861,1712.532017
10000,10000,10000,1.155614,1730.681936

10000,10000,10000,1.089112,1836.358495
10000,10000,10000,1.080900,1850.310702
10000,10000,10000,1.084003,1845.013788
10000,10000,10000,1.090681,1833.716770
10000,10000,10000,1.095860,1825.050527

10000,10000,10000,1.091801,1831.834903
10000,10000,10000,1.081478,1849.321171
10000,10000,10000,1.080336,1851.276134
10000,10000,10000,1.084008,1845.004659
10000,10000,10000,1.085854,1841.867674

10000,10000,10000,0.954753,2094.782978
10000,10000,10000,0.956365,2091.251673
10000,10000,10000,0.954986,2094.271065
10000,10000,10000,0.956720,2090.474726
10000,10000,10000,0.952758,2099.168342

10000,10000,10000,0.877256,2279.837118
10000,10000,10000,0.875086,2285.490645
10000,10000,10000,0.871826,2294.035331
10000,10000,10000,0.867411,2305.711739
10000,10000,10000,0.872237,2292.953659

10000,10000,10000,0.889608,2248.182139
10000,10000,10000,0.885428,2258.795714
10000,10000,10000,0.884327,2261.607417
10000,10000,10000,0.883597,2263.475924
10000,10000,10000,0.886566,2255.895707

10000,10000,10000,0.892749,2240.270988
10000,10000,10000,0.884816,2260.358136
10000,10000,10000,0.886744,2255.442726
10000,10000,10000,0.888556,2250.843483
10000,10000,10000,0.885091,2259.655655

10000,10000,10000,0.878855,2275.689087
10000,10000,10000,0.876244,2282.468420
10000,10000,10000,0.879124,2274.993132
10000,10000,10000,0.873508,2289.618226
10000,10000,10000,0.876269,2282.404356

