# running on THIN
# thread allocation policy: cores, spread
# max number of threads: 24
# m, n, k, time, gflops
10000,10000,10000,15.179571,131.756029
10000,10000,10000,14.960051,133.689380
10000,10000,10000,14.958207,133.705865
10000,10000,10000,14.972301,133.580001
10000,10000,10000,14.959143,133.697496

10000,10000,10000,7.739971,258.398897
10000,10000,10000,7.818905,255.790286
10000,10000,10000,7.710565,259.384351
10000,10000,10000,7.786698,256.848273
10000,10000,10000,7.784265,256.928571

10000,10000,10000,5.126085,390.161287
10000,10000,10000,5.051885,395.891841
10000,10000,10000,5.054327,395.700558
10000,10000,10000,5.052969,395.806878
10000,10000,10000,5.056642,395.519435

10000,10000,10000,3.777264,529.483721
10000,10000,10000,3.781298,528.918903
10000,10000,10000,3.777147,529.500190
10000,10000,10000,3.783829,528.565138
10000,10000,10000,3.778043,529.374570

10000,10000,10000,3.169117,631.090650
10000,10000,10000,3.176922,629.540128
10000,10000,10000,3.174744,629.972143
10000,10000,10000,3.192832,626.403219
10000,10000,10000,3.163383,632.234593

10000,10000,10000,2.495067,801.581581
10000,10000,10000,2.494170,801.869999
10000,10000,10000,2.493027,802.237540
10000,10000,10000,2.494146,801.877738
10000,10000,10000,2.494588,801.735668

10000,10000,10000,2.223717,899.395015
10000,10000,10000,2.225028,898.864910
10000,10000,10000,2.226611,898.226244
10000,10000,10000,2.225521,898.665949
10000,10000,10000,2.225235,898.781434

10000,10000,10000,1.966005,1017.291648
10000,10000,10000,1.966741,1016.910514
10000,10000,10000,1.970181,1015.135293
10000,10000,10000,1.964661,1017.987203
10000,10000,10000,1.960426,1020.186317

10000,10000,10000,1.710582,1169.192870
10000,10000,10000,1.717225,1164.669427
10000,10000,10000,1.715020,1166.167224
10000,10000,10000,1.716642,1165.065328
10000,10000,10000,1.713251,1167.371482

10000,10000,10000,1.520595,1315.274919
10000,10000,10000,1.524515,1311.892596
10000,10000,10000,1.517328,1318.106831
10000,10000,10000,1.517565,1317.900850
10000,10000,10000,1.522662,1313.489462

10000,10000,10000,1.372669,1457.015097
10000,10000,10000,1.372260,1457.450193
10000,10000,10000,1.372714,1456.968181
10000,10000,10000,1.374256,1455.332419
10000,10000,10000,1.372365,1457.337961

10000,10000,10000,1.243527,1608.329023
10000,10000,10000,1.244148,1607.526432
10000,10000,10000,1.243537,1608.316008
10000,10000,10000,1.242221,1610.019463
10000,10000,10000,1.244078,1607.615770

10000,10000,10000,1.164490,1717.490744
10000,10000,10000,1.164453,1717.544404
10000,10000,10000,1.166469,1714.576501
10000,10000,10000,1.172505,1705.750187
10000,10000,10000,1.167031,1713.751029

10000,10000,10000,1.085778,1841.997245
10000,10000,10000,1.085407,1842.626125
10000,10000,10000,1.086886,1840.119429
10000,10000,10000,1.085294,1842.818852
10000,10000,10000,1.082994,1846.732925

10000,10000,10000,1.005113,1989.825915
10000,10000,10000,1.005982,1988.106673
10000,10000,10000,1.005797,1988.471985
10000,10000,10000,1.005584,1988.894089
10000,10000,10000,1.005631,1988.800531

10000,10000,10000,0.944489,2117.546432
10000,10000,10000,0.947701,2110.369699
10000,10000,10000,0.947385,2111.073697
10000,10000,10000,0.947053,2111.813791
10000,10000,10000,0.947192,2111.505276

10000,10000,10000,0.894511,2235.857867
10000,10000,10000,0.894613,2235.604214
10000,10000,10000,0.895168,2234.216824
10000,10000,10000,0.894607,2235.619607
10000,10000,10000,0.894646,2235.521296

10000,10000,10000,0.846517,2362.622844
10000,10000,10000,0.846762,2361.938757
10000,10000,10000,0.846523,2362.606385
10000,10000,10000,0.847401,2360.156452
10000,10000,10000,0.845315,2365.983132

10000,10000,10000,0.803967,2487.665003
10000,10000,10000,0.804829,2485.000787
10000,10000,10000,0.804544,2485.880729
10000,10000,10000,0.803487,2489.150682
10000,10000,10000,0.806900,2478.620452

10000,10000,10000,0.766271,2610.041363
10000,10000,10000,0.767502,2605.856161
10000,10000,10000,0.767119,2607.155791
10000,10000,10000,0.767199,2606.885288
10000,10000,10000,0.767713,2605.141685

10000,10000,10000,0.731614,2733.680721
10000,10000,10000,0.731446,2734.310082
10000,10000,10000,0.731146,2735.432141
10000,10000,10000,0.732477,2730.461102
10000,10000,10000,0.733050,2728.328074

10000,10000,10000,0.703418,2843.259105
10000,10000,10000,0.702601,2846.567246
10000,10000,10000,0.703355,2843.514687
10000,10000,10000,0.701497,2851.044290
10000,10000,10000,0.701714,2850.165940

10000,10000,10000,0.675655,2960.089974
10000,10000,10000,0.675485,2960.834031
10000,10000,10000,0.673199,2970.891736
10000,10000,10000,0.674776,2963.944819
10000,10000,10000,0.675859,2959.195771

10000,10000,10000,0.647310,3089.710380
10000,10000,10000,0.648865,3082.304002
10000,10000,10000,0.647790,3087.422556
10000,10000,10000,0.648465,3084.208028
10000,10000,10000,0.648171,3085.603901

