# running on THIN
# thread allocation policy: cores, spread
# max number of threads: 24
# m, n, k, time, gflops
10000,10000,10000,14.629510,136.709977
10000,10000,10000,14.618172,136.816014
10000,10000,10000,14.609235,136.899710
10000,10000,10000,14.690957,136.138171
10000,10000,10000,14.586676,137.111427

10000,10000,10000,7.619089,262.498588
10000,10000,10000,7.733579,258.612486
10000,10000,10000,7.624123,262.325239
10000,10000,10000,7.634735,261.960624
10000,10000,10000,7.629640,262.135558

10000,10000,10000,5.011856,399.053750
10000,10000,10000,4.979456,401.650329
10000,10000,10000,4.992662,400.587874
10000,10000,10000,5.004385,399.649509
10000,10000,10000,4.984604,401.235494

10000,10000,10000,3.735225,535.443012
10000,10000,10000,3.763601,531.405990
10000,10000,10000,3.721085,537.477611
10000,10000,10000,3.723222,537.169164
10000,10000,10000,3.727979,536.483757

10000,10000,10000,3.276807,610.350348
10000,10000,10000,3.284419,608.935779
10000,10000,10000,3.281538,609.470326
10000,10000,10000,3.283187,609.164219
10000,10000,10000,3.273934,610.885810

10000,10000,10000,2.488488,803.700884
10000,10000,10000,2.510134,796.770271
10000,10000,10000,2.489504,803.372933
10000,10000,10000,2.494796,801.668666
10000,10000,10000,2.528217,791.071373

10000,10000,10000,2.297410,870.545698
10000,10000,10000,2.285241,875.181363
10000,10000,10000,2.300905,869.223121
10000,10000,10000,2.295346,871.328386
10000,10000,10000,2.281412,876.649967

10000,10000,10000,1.946944,1027.250999
10000,10000,10000,1.936968,1032.541610
10000,10000,10000,1.936745,1032.660250
10000,10000,10000,1.934399,1033.912681
10000,10000,10000,1.937427,1032.297042

10000,10000,10000,1.731294,1155.205143
10000,10000,10000,1.741735,1148.279999
10000,10000,10000,1.724382,1159.835828
10000,10000,10000,1.738722,1150.270302
10000,10000,10000,1.737004,1151.407895

10000,10000,10000,1.534059,1303.730761
10000,10000,10000,1.530941,1306.385827
10000,10000,10000,1.531420,1305.977127
10000,10000,10000,1.541795,1297.189110
10000,10000,10000,1.540038,1298.669493

10000,10000,10000,1.389323,1439.550332
10000,10000,10000,1.389522,1439.343972
10000,10000,10000,1.390827,1437.992941
10000,10000,10000,1.389250,1439.625345
10000,10000,10000,1.389270,1439.605096

10000,10000,10000,1.273345,1570.666221
10000,10000,10000,1.269263,1575.718117
10000,10000,10000,1.273996,1569.864033
10000,10000,10000,1.274272,1569.523006
10000,10000,10000,1.272097,1572.206836

10000,10000,10000,1.180533,1694.150576
10000,10000,10000,1.178737,1696.731045
10000,10000,10000,1.181891,1692.204024
10000,10000,10000,1.207855,1655.827825
10000,10000,10000,1.181994,1692.056112

10000,10000,10000,1.097479,1822.358658
10000,10000,10000,1.098270,1821.045389
10000,10000,10000,1.093186,1829.515214
10000,10000,10000,1.113670,1795.863725
10000,10000,10000,1.098576,1820.537947

10000,10000,10000,0.990827,2018.515041
10000,10000,10000,0.989143,2021.952011
10000,10000,10000,0.999480,2001.040665
10000,10000,10000,1.016717,1967.114978
10000,10000,10000,0.992005,2016.119002

10000,10000,10000,0.967129,2067.975701
10000,10000,10000,0.947757,2110.245556
10000,10000,10000,0.948414,2108.784417
10000,10000,10000,0.951778,2101.330299
10000,10000,10000,0.948122,2109.433855

10000,10000,10000,0.895257,2233.994779
10000,10000,10000,0.893708,2237.868113
10000,10000,10000,0.895430,2233.563261
10000,10000,10000,0.892399,2241.150122
10000,10000,10000,0.894310,2236.361589

10000,10000,10000,0.848659,2356.658325
10000,10000,10000,0.848378,2357.440526
10000,10000,10000,0.862048,2320.057245
10000,10000,10000,0.847754,2359.175509
10000,10000,10000,0.847031,2361.189576

10000,10000,10000,0.796819,2509.979547
10000,10000,10000,0.794139,2518.450334
10000,10000,10000,0.795788,2513.231580
10000,10000,10000,0.800367,2498.852964
10000,10000,10000,0.794643,2516.853046

10000,10000,10000,0.775745,2578.167775
10000,10000,10000,0.776478,2575.733848
10000,10000,10000,0.777405,2572.661979
10000,10000,10000,0.775713,2578.272452
10000,10000,10000,0.778076,2570.443525

10000,10000,10000,0.742973,2691.886597
10000,10000,10000,0.745717,2681.981155
10000,10000,10000,0.743657,2689.411008
10000,10000,10000,0.734827,2721.730093
10000,10000,10000,0.733086,2728.192720

10000,10000,10000,0.736213,2716.606877
10000,10000,10000,0.730275,2738.693874
10000,10000,10000,0.733897,2725.179846
10000,10000,10000,0.725835,2755.446723
10000,10000,10000,0.735122,2720.635962

10000,10000,10000,0.693824,2882.575462
10000,10000,10000,0.690909,2894.735296
10000,10000,10000,0.689746,2899.617687
10000,10000,10000,0.694192,2881.047762
10000,10000,10000,0.692111,2889.710401

10000,10000,10000,0.667957,2994.205093
10000,10000,10000,0.667172,2997.728787
10000,10000,10000,0.667608,2995.771857
10000,10000,10000,0.666703,2999.836077
10000,10000,10000,0.673148,2971.116146

